,abbreviation,assist_percentage,assists,away_losses,away_wins,block_percentage,blocks,conference,conference_losses,conference_wins,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,free_throws_per_field_goal_attempt,games_played,home_losses,home_wins,losses,minutes_played,name,net_rating,offensive_rating,offensive_rebound_percentage,offensive_rebounds,opp_assist_percentage,opp_assists,opp_block_percentage,opp_blocks,opp_defensive_rebounds,opp_effective_field_goal_percentage,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempt_rate,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_free_throws_per_field_goal_attempt,opp_offensive_rating,opp_offensive_rebound_percentage,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steal_percentage,opp_steals,opp_three_point_attempt_rate,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,opp_total_rebound_percentage,opp_total_rebounds,opp_true_shooting_percentage,opp_turnover_percentage,opp_turnovers,pace,personal_fouls,points,simple_rating_system,steal_percentage,steals,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,win_percentage,wins
HIGH-POINT,HIGH-POINT,53.6,554,2,7,11.4,130,big-south,1,15,842,0.566,2104,0.491,1034,0.433,911,0.743,677,0.322,,1,17,4,1370,High Point,,124.5,33.1,395,51.9,429,9.7,118,797,0.491,1937,0.426,826,0.356,690,0.703,485,0.25,,30.4,367,685,2389,6.6,163,0.41,794,0.317,252,1143,0.502,574,48.5,1164,0.527,19.8,558,71.8,634,3059,6.77,15.1,370,-7.87,0.42,883,0.356,314,1221,0.59,720,51.5,1237,0.603,11.1,318,0.882,30
HOFSTRA,HOFSTRA,49.0,434,8,9,10.6,125,coastal,6,12,913,0.522,2005,0.442,886,0.319,639,0.746,477,0.238,,2,10,10,1370,Hofstra,,114.4,35.5,422,54.9,418,10.2,115,768,0.45,1967,0.387,761,0.34,668,0.711,475,0.241,,29.4,381,570,2246,7.6,171,0.401,789,0.316,249,1178,0.435,512,46.3,1149,0.492,13.1,343,65.6,583,2571,4.48,7.5,169,-2.46,0.437,876,0.368,322,1129,0.5,564,53.7,1335,0.557,13.5,360,0.706,24
HOUSTON,HOUSTON,52.9,499,3,6,12.5,131,big-12,4,14,809,0.521,2099,0.45,944,0.269,565,0.772,436,0.208,,1,15,6,1365,Houston,,118.4,35.9,435,53.5,380,6.4,79,777,0.466,1775,0.4,710,0.39,693,0.698,484,0.273,,30.9,362,538,2137,7.0,156,0.409,726,0.321,233,1049,0.455,477,47.8,1139,0.508,18.1,466,64.9,612,2623,26.23,11.9,263,11.93,0.408,856,0.349,299,1243,0.519,645,52.2,1244,0.554,10.9,289,0.824,28
HOWARD,HOWARD,62.2,535,6,7,10.1,121,meac,3,11,798,0.517,1875,0.459,860,0.45,843,0.731,616,0.329,,4,11,10,1324,Howard,,110.4,37.2,409,45.5,347,10.5,130,691,0.47,1822,0.418,762,0.407,742,0.706,524,0.288,,30.7,354,658,2236,8.5,197,0.345,628,0.299,188,1194,0.481,574,46.4,1045,0.514,18.6,498,69.9,632,2556,-4.62,12.3,286,-11.83,0.34,637,0.345,220,1238,0.517,640,53.6,1207,0.562,16.4,447,0.697,23
IDAHO,IDAHO,46.7,439,9,7,6.4,81,big-sky,9,9,936,0.531,2097,0.448,940,0.34,713,0.735,524,0.25,,4,9,14,1405,Idaho,,112.7,30.0,373,46.6,402,8.6,96,870,0.494,2003,0.431,863,0.379,759,0.738,560,0.28,,23.5,288,653,2540,9.0,221,0.369,740,0.343,254,1263,0.482,609,46.9,1158,0.537,13.8,379,69.6,636,2753,-0.03,8.4,205,-2.69,0.468,981,0.356,349,1116,0.53,591,53.1,1309,0.565,13.2,370,0.6,21
ILLINOIS,ILLINOIS,51.2,470,2,8,12.6,148,big-ten,5,15,879,0.551,1984,0.463,918,0.329,653,0.789,515,0.26,,3,14,8,1300,Illinois,,125.5,38.7,422,51.4,427,8.5,83,669,0.476,2024,0.41,830,0.206,417,0.734,306,0.151,,27.0,325,599,2234,8.2,176,0.422,854,0.314,268,1170,0.48,562,43.3,994,0.503,10.1,250,66.2,428,2700,26.46,5.6,120,11.9,0.507,1006,0.347,349,978,0.582,569,56.7,1301,0.588,11.0,284,0.75,24
IOWA,IOWA,58.0,506,8,3,6.7,66,big-ten,10,10,680,0.566,1777,0.491,873,0.345,613,0.77,472,0.266,,3,14,12,1325,Iowa,,118.2,30.1,291,51.0,382,8.3,86,676,0.527,1625,0.461,749,0.391,636,0.731,465,0.286,,28.0,265,577,2177,8.0,168,0.391,635,0.337,214,990,0.54,535,49.2,941,0.565,18.6,441,63.4,582,2482,19.0,11.2,235,9.75,0.416,739,0.357,264,1038,0.587,609,50.8,971,0.6,13.4,320,0.636,21
IOWA-STATE,IOWA-STATE,58.4,586,5,5,8.6,92,big-12,6,12,808,0.565,2048,0.49,1003,0.34,696,0.672,468,0.229,,1,16,7,1360,Iowa State,,120.0,35.3,403,54.5,433,9.6,120,738,0.495,1862,0.426,794,0.279,519,0.715,371,0.199,,28.1,316,570,2215,9.8,227,0.428,797,0.321,256,1065,0.505,538,46.5,1054,0.525,19.8,519,68.2,543,2781,27.15,13.2,305,10.5,0.388,794,0.387,307,1254,0.555,696,53.5,1211,0.585,12.8,349,0.794,27
KANSAS,KANSAS,53.3,471,6,5,15.6,189,big-12,6,12,948,0.516,1948,0.453,883,0.326,635,0.767,487,0.25,,2,14,10,1330,Kansas,,110.0,29.5,334,48.0,389,8.3,104,799,0.452,2088,0.388,810,0.277,578,0.694,401,0.192,,30.1,409,529,2290,9.6,217,0.42,877,0.307,269,1211,0.447,541,48.5,1208,0.485,11.8,317,68.2,474,2496,21.11,8.0,181,14.87,0.357,695,0.35,243,1253,0.511,640,51.5,1282,0.555,13.5,352,0.697,23
KENNESAW-STATE,KENNESAW-STATE,51.6,485,8,4,14.3,180,cusa,10,10,898,0.522,2106,0.446,940,0.436,918,0.691,634,0.301,,3,13,13,1370,Kennesaw State,,114.2,36.6,473,48.3,398,11.9,142,819,0.47,2023,0.407,824,0.454,918,0.744,683,0.338,,30.0,384,684,2586,10.6,264,0.38,768,0.332,255,1255,0.453,569,46.7,1203,0.526,14.4,414,72.4,680,2834,0.14,9.7,241,-1.99,0.434,915,0.35,320,1191,0.521,620,53.3,1371,0.557,13.7,404,0.618,21
