,abbreviation,assist_percentage,assists,away_losses,away_wins,block_percentage,blocks,conference,conference_losses,conference_wins,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,free_throws_per_field_goal_attempt,games_played,home_losses,home_wins,losses,minutes_played,name,net_rating,offensive_rating,offensive_rebound_percentage,offensive_rebounds,opp_assist_percentage,opp_assists,opp_block_percentage,opp_blocks,opp_defensive_rebounds,opp_effective_field_goal_percentage,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempt_rate,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_free_throws_per_field_goal_attempt,opp_offensive_rating,opp_offensive_rebound_percentage,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steal_percentage,opp_steals,opp_three_point_attempt_rate,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,opp_total_rebound_percentage,opp_total_rebounds,opp_true_shooting_percentage,opp_turnover_percentage,opp_turnovers,pace,personal_fouls,points,simple_rating_system,steal_percentage,steals,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,win_percentage,wins
QUEENS-NC,QUEENS-NC,54.8,541,10,6,7.9,100,atlantic-sun,5,13,801,0.567,2046,0.482,987,0.374,766,0.739,566,0.277,,2,12,13,1370,Queens (NC),,118.7,30.2,348,47.6,462,9.1,99,804,0.536,2082,0.466,970,0.387,806,0.732,590,0.283,,33.2,398,646,2820,9.1,222,0.393,819,0.354,290,1263,0.538,680,51.1,1202,0.572,13.1,370,71.0,675,2886,-3.29,8.3,201,-4.96,0.47,962,0.36,346,1084,0.591,641,48.9,1149,0.599,13.1,363,0.618,21
SAINT-LOUIS,SAINT-LOUIS,60.0,605,3,7,9.8,115,atlantic-10,3,15,980,0.6,1980,0.509,1008,0.341,676,0.744,503,0.254,,0,19,5,1320,Saint Louis,,121.1,32.0,338,51.5,389,10.4,112,717,0.44,1997,0.379,756,0.369,736,0.731,538,0.269,,26.5,353,545,2294,10.2,243,0.415,829,0.294,244,1168,0.438,512,44.8,1070,0.489,14.1,386,72.0,604,2879,17.29,9.9,236,1.54,0.454,898,0.401,360,1082,0.599,648,55.2,1318,0.626,15.2,411,0.848,28
SAINT-MARYS-CA,SAINT-MARYS-CA,58.1,495,2,8,9.8,116,wcc,2,16,893,0.532,1847,0.461,852,0.362,668,0.805,538,0.291,,0,17,5,1280,Saint Mary's (CA),,117.6,37.8,398,52.7,398,9.1,107,654,0.462,1862,0.405,755,0.258,480,0.721,346,0.186,,23.7,277,582,2066,8.0,171,0.365,680,0.309,210,1182,0.461,545,41.9,931,0.494,13.6,330,66.5,500,2502,17.91,8.5,180,5.58,0.362,669,0.389,260,1178,0.503,592,58.1,1291,0.578,13.8,346,0.844,27
SANTA-CLARA,SANTA-CLARA,55.2,570,3,8,10.8,126,wcc,3,15,769,0.546,2205,0.468,1032,0.252,556,0.736,409,0.185,,1,14,8,1360,Santa Clara,,118.9,36.7,445,60.8,518,8.3,100,769,0.513,1891,0.451,852,0.376,711,0.734,522,0.276,,31.9,361,522,2463,9.2,218,0.383,725,0.327,237,1166,0.527,615,48.2,1130,0.553,17.7,478,69.7,663,2817,15.9,12.8,303,6.08,0.451,994,0.346,344,1211,0.568,688,51.8,1214,0.57,13.0,368,0.765,26
SIENA,SIENA,53.0,456,7,9,9.1,106,maac,7,13,824,0.506,1882,0.457,860,0.342,644,0.769,495,0.263,,4,9,11,1365,Siena,,109.3,31.9,346,48.3,389,9.6,123,738,0.486,1909,0.422,805,0.272,520,0.725,377,0.197,,29.0,337,563,2233,10.3,226,0.393,750,0.328,246,1159,0.482,559,47.9,1075,0.518,14.8,375,64.3,467,2398,-4.33,9.0,197,-9.18,0.319,601,0.304,183,1281,0.528,677,52.1,1170,0.548,13.8,351,0.676,23
SOUTH-FLORIDA,SOUTH-FLORIDA,59.4,554,3,9,11.1,133,american,3,15,872,0.514,2117,0.441,933,0.411,871,0.743,647,0.306,,2,13,8,1305,South Florida,,118.1,38.2,498,51.5,422,12.8,151,804,0.483,1977,0.415,820,0.381,753,0.703,529,0.268,,31.4,400,632,2437,8.4,202,0.397,784,0.342,268,1193,0.463,552,46.8,1204,0.522,16.4,457,73.3,625,2825,12.98,12.3,293,2.43,0.442,936,0.333,312,1181,0.526,621,53.2,1370,0.558,12.4,358,0.75,24
SOUTHERN-METHODIST,SOUTHERN-METHODIST,55.1,559,8,3,11.2,121,acc,10,8,839,0.557,2071,0.49,1015,0.306,634,0.741,470,0.227,,3,15,13,1330,Southern Methodist,,118.2,35.4,405,60.6,536,7.6,101,739,0.514,2036,0.434,884,0.32,652,0.718,468,0.23,,31.6,387,569,2561,9.4,222,0.472,960,0.339,325,1076,0.52,559,47.5,1126,0.546,14.7,403,70.7,559,2779,17.29,10.0,234,10.69,0.36,745,0.374,279,1326,0.555,736,52.5,1244,0.586,13.6,373,0.606,20
ST-JOHNS-NY,ST-JOHNS-NY,58.2,553,1,9,12.4,166,big-east,2,18,869,0.51,2093,0.454,950,0.419,877,0.727,638,0.305,,2,15,6,1365,St. John's (NY),,114.5,35.9,445,47.2,402,9.5,132,793,0.474,2025,0.421,852,0.318,643,0.717,461,0.228,,30.2,376,691,2379,8.7,211,0.337,683,0.313,214,1342,0.475,638,47.1,1169,0.51,16.8,469,71.0,588,2773,22.43,11.1,269,10.84,0.338,707,0.332,235,1386,0.516,715,52.9,1314,0.552,12.4,356,0.824,28
TEXAS-CHRISTIAN,TEXAS-CHRISTIAN,57.6,516,5,5,12.6,150,big-12,7,11,784,0.509,2000,0.448,896,0.387,774,0.708,548,0.274,,5,14,11,1335,TCU,,111.1,34.4,410,61.0,522,9.9,125,782,0.51,1920,0.446,856,0.304,583,0.719,419,0.218,,29.2,323,628,2378,8.8,205,0.381,732,0.337,247,1188,0.513,609,48.1,1105,0.541,17.2,457,69.7,538,2584,15.77,10.9,254,9.53,0.369,737,0.331,244,1263,0.516,652,51.9,1194,0.546,13.2,361,0.667,22
TENNESSEE,TENNESSEE,59.8,558,5,5,11.3,119,sec,7,11,876,0.516,2017,0.463,933,0.387,781,0.694,542,0.269,,3,14,11,1335,Tennessee,,116.8,45.1,529,45.4,352,9.4,129,644,0.477,1894,0.409,775,0.362,686,0.703,482,0.254,,27.9,339,624,2289,10.5,236,0.444,841,0.306,257,1053,0.492,518,41.2,983,0.516,14.2,366,67.3,590,2622,22.11,11.0,248,12.02,0.317,640,0.334,214,1377,0.522,719,58.8,1405,0.549,13.9,385,0.667,22
TENNESSEE-STATE,TENNESSEE-STATE,45.6,422,7,10,10.1,116,ovc,5,15,799,0.51,2015,0.46,926,0.338,681,0.765,521,0.259,,2,10,9,1285,Tennessee State,,111.5,35.4,417,49.9,404,7.4,103,760,0.504,1823,0.444,809,0.389,710,0.715,508,0.279,,28.4,317,538,2347,10.4,240,0.37,674,0.328,221,1149,0.512,588,47.0,1077,0.543,17.8,469,72.0,578,2577,-4.53,13.0,300,-8.66,0.306,616,0.331,204,1399,0.516,722,53.0,1216,0.551,14.3,390,0.719,23
TEXAS,TEXAS,43.5,394,6,4,7.6,94,sec,9,9,821,0.55,1862,0.486,905,0.453,843,0.752,634,0.34,,5,12,14,1290,Texas,,120.1,36.3,384,45.5,381,10.1,120,674,0.509,1864,0.449,837,0.408,761,0.737,561,0.301,,26.4,295,682,2458,9.6,215,0.333,620,0.36,223,1244,0.494,614,44.6,969,0.552,11.9,302,69.2,603,2681,16.18,8.2,184,10.31,0.36,671,0.353,237,1191,0.561,668,55.4,1205,0.593,13.5,353,0.563,18
TEXAS-AM,TEXAS-AM,61.3,580,5,6,8.9,103,sec,7,11,816,0.542,2065,0.458,946,0.374,772,0.737,569,0.276,,4,14,11,1310,Texas A&M,,118.2,32.3,391,56.3,494,11.5,127,821,0.508,1987,0.442,878,0.356,707,0.748,529,0.266,,32.5,393,601,2546,8.9,212,0.415,824,0.317,261,1163,0.531,617,50.1,1214,0.548,15.7,434,72.5,619,2807,16.77,10.9,260,8.62,0.463,956,0.362,346,1109,0.541,600,49.9,1207,0.577,12.5,347,0.656,21
TEXAS-TECH,TEXAS-TECH,55.5,507,5,5,9.5,119,big-12,6,12,813,0.562,1953,0.467,913,0.271,529,0.715,378,0.194,,2,14,10,1285,Texas Tech,,117.9,33.3,369,41.5,351,7.3,74,740,0.494,1924,0.439,845,0.316,608,0.694,422,0.219,,30.1,350,517,2324,8.8,193,0.35,674,0.315,212,1250,0.506,633,48.0,1090,0.525,12.7,321,67.9,523,2573,21.94,8.5,185,14.15,0.48,938,0.393,369,1015,0.536,544,52.0,1182,0.584,13.6,346,0.688,22
TROY,TROY,58.2,527,7,9,9.1,112,sun-belt,6,12,844,0.526,2014,0.449,905,0.358,721,0.738,532,0.264,,3,10,11,1370,Troy,,113.5,35.3,420,49.6,429,11.0,121,769,0.493,1996,0.433,865,0.317,633,0.7,443,0.222,,30.9,378,557,2412,9.8,229,0.383,764,0.313,239,1232,0.508,626,47.6,1147,0.525,15.5,420,68.1,552,2649,-0.75,11.3,263,-4.56,0.455,917,0.335,307,1097,0.545,598,52.4,1264,0.562,14.3,392,0.667,22
CENTRAL-FLORIDA,CENTRAL-FLORIDA,53.6,504,5,5,8.3,96,big-12,9,9,794,0.528,2017,0.466,940,0.308,622,0.74,460,0.228,,5,13,11,1290,UCF,,113.7,34.4,396,51.3,449,9.0,119,755,0.524,1918,0.456,875,0.352,676,0.743,502,0.262,,28.5,317,552,2511,8.3,190,0.397,761,0.34,259,1157,0.532,616,47.4,1072,0.561,13.9,360,70.6,560,2591,13.32,7.9,181,10.82,0.344,694,0.362,251,1323,0.521,689,52.6,1190,0.56,13.4,358,0.656,21
UCLA,UCLA,59.4,555,6,4,9.4,99,big-ten,7,13,759,0.539,1984,0.471,934,0.331,656,0.767,503,0.254,,1,17,11,1375,UCLA,,117.0,31.1,339,63.3,522,8.1,103,751,0.504,1901,0.433,824,0.347,659,0.753,496,0.261,,32.4,364,603,2414,7.3,164,0.447,849,0.318,270,1052,0.527,554,50.4,1115,0.545,15.6,409,65.7,582,2643,18.28,9.9,223,11.55,0.359,712,0.382,272,1272,0.52,662,49.6,1098,0.576,11.6,302,0.676,23
UTAH-STATE,UTAH-STATE,60.5,599,5,7,8.8,99,mwc,5,15,805,0.572,1986,0.498,990,0.378,751,0.707,531,0.267,,1,14,6,1365,Utah State,,120.0,33.3,371,50.0,400,9.7,113,743,0.492,1888,0.424,800,0.387,730,0.73,533,0.282,,31.7,374,612,2392,8.3,194,0.406,767,0.338,259,1121,0.483,541,48.7,1117,0.535,17.8,483,68.5,642,2806,17.36,12.8,299,6.51,0.412,818,0.358,293,1168,0.597,697,51.3,1176,0.599,13.3,360,0.824,28
VANDERBILT,VANDERBILT,56.2,543,4,8,12.9,155,sec,7,11,813,0.556,2019,0.478,966,0.387,781,0.789,616,0.305,,3,13,7,1330,Vanderbilt,,121.5,31.4,354,45.7,375,7.0,79,772,0.483,1934,0.424,820,0.414,801,0.753,603,0.312,,31.9,381,638,2471,7.3,172,0.378,731,0.312,228,1203,0.492,592,49.7,1153,0.534,15.5,424,70.8,644,2861,23.18,11.5,270,11.36,0.438,885,0.354,313,1134,0.576,653,50.3,1167,0.599,11.7,316,0.788,26
VILLANOVA,VILLANOVA,56.8,496,3,9,6.0,70,big-east,5,15,734,0.537,1912,0.457,873,0.313,598,0.694,415,0.217,,3,13,8,1295,Villanova,,114.8,32.4,369,53.7,444,7.5,78,769,0.513,1837,0.45,827,0.289,531,0.718,381,0.207,,31.7,341,530,2265,7.6,164,0.369,678,0.339,230,1159,0.515,597,50.2,1110,0.542,16.2,403,66.4,513,2469,16.32,11.1,238,9.94,0.457,873,0.353,308,1039,0.544,565,49.8,1103,0.562,12.9,324,0.75,24
VIRGINIA,VIRGINIA,59.1,563,2,8,17.5,220,acc,3,15,918,0.546,2058,0.463,952,0.33,680,0.726,494,0.24,,1,16,5,1385,Virginia,,119.1,37.9,449,50.3,400,9.6,106,735,0.453,2011,0.395,795,0.33,664,0.758,503,0.25,,29.2,379,599,2326,9.6,221,0.375,755,0.309,233,1256,0.447,562,44.9,1114,0.5,13.4,359,66.5,597,2742,21.61,9.5,219,9.38,0.465,957,0.359,344,1101,0.552,608,55.1,1367,0.576,13.4,368,0.853,29
VIRGINIA-COMMONWEALTH,VIRGINIA-COMMONWEALTH,52.7,467,3,7,11.3,144,atlantic-10,3,15,839,0.542,1917,0.462,886,0.44,844,0.741,625,0.326,,2,15,7,1320,Virginia Commonwealth,,117.9,32.8,374,49.8,419,8.8,95,765,0.488,1951,0.431,841,0.331,646,0.717,463,0.237,,30.1,362,664,2368,9.2,210,0.345,674,0.331,223,1277,0.484,618,48.2,1127,0.524,14.9,394,69.5,570,2703,13.1,10.6,242,2.95,0.438,840,0.364,306,1077,0.539,580,51.8,1213,0.583,13.2,353,0.788,26
WISCONSIN,WISCONSIN,57.3,543,4,6,8.5,105,big-ten,6,14,854,0.545,2106,0.45,947,0.319,672,0.786,528,0.251,,2,15,10,1380,Wisconsin,,118.8,29.4,353,50.6,467,12.5,125,847,0.513,2067,0.447,923,0.305,630,0.729,459,0.222,,28.2,335,591,2581,6.5,155,0.402,830,0.333,276,1237,0.523,647,49.5,1182,0.545,12.7,343,68.8,584,2822,19.54,8.1,193,12.45,0.526,1108,0.361,400,998,0.548,547,50.5,1207,0.582,11.1,304,0.706,24
WRIGHT-STATE,WRIGHT-STATE,48.1,469,5,9,11.5,148,horizon,5,15,821,0.549,1996,0.488,975,0.377,753,0.736,554,0.278,,5,11,11,1365,Wright State,,116.5,34.2,383,44.9,403,8.7,116,738,0.514,1963,0.457,897,0.335,658,0.728,479,0.244,,28.4,325,630,2497,9.9,234,0.345,678,0.33,224,1285,0.524,673,46.9,1063,0.549,15.2,407,69.0,590,2745,0.14,10.7,252,-4.43,0.334,667,0.361,241,1329,0.552,734,53.1,1204,0.583,14.0,383,0.676,23
