round_num,round_name,round_start,round_end
1,First Four,2023-03-14T18:30:00-0500,2023-03-15T23:59:59-0500
2,Round of 64,2023-03-16T12:00:00-0500,2023-03-17T23:59:59-0500
3,Round of 32,2023-03-18T12:00:00-0500,2023-03-19T23:59:59-0500
4,Sweet 16,2023-03-23T18:15:00-0500,2023-03-24T23:59:59-0500
5,Elite Eight,2023-03-25T18:00:00-0500,2023-03-26T20:00:00-0500
6,Final Four,2023-04-01T18:00:00-0500,2023-04-01T23:00:00-0500
7,Championship Game,2023-04-03T21:00:00-0500,2023-04-03T23:59:59-0500
