,abbreviation,assist_percentage,assists,away_losses,away_wins,block_percentage,blocks,conference,conference_losses,conference_wins,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,free_throws_per_field_goal_attempt,games_played,home_losses,home_wins,losses,minutes_played,name,net_rating,offensive_rating,offensive_rebound_percentage,offensive_rebounds,opp_assist_percentage,opp_assists,opp_block_percentage,opp_blocks,opp_defensive_rebounds,opp_effective_field_goal_percentage,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempt_rate,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_free_throws_per_field_goal_attempt,opp_offensive_rating,opp_offensive_rebound_percentage,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steal_percentage,opp_steals,opp_three_point_attempt_rate,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,opp_total_rebound_percentage,opp_total_rebounds,opp_true_shooting_percentage,opp_turnover_percentage,opp_turnovers,pace,personal_fouls,points,simple_rating_system,steal_percentage,steals,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,win_percentage,wins
CONNECTICUT,CONNECTICUT,63.7,630,3,9,14.2,183,big-east,2,18,913,0.571,1994,0.496,989,0.333,664,0.742,493,0.247,34,0,16,3,1360,Connecticut,,123.0,36.5,395,46.0,353,8.3,98,688,0.451,1927,0.398,767,0.325,626,0.722,452,0.235,,26.8,334,573,2190,8.3,187,0.332,639,0.319,204,1288,0.437,563,43.9,1022,0.492,14.1,364,66.2,552,2770,24.72,9.4,212,7.66,0.409,815,0.367,299,1179,0.585,690,56.1,1308,0.6,12.7,335,0.912,31
CREIGHTON,CREIGHTON,58.6,548,5,8,8.6,132,big-east,6,14,948,0.575,1922,0.486,935,0.245,471,0.781,368,0.191,32,2,14,9,1305,Creighton,,116.3,25.9,266,41.0,364,9.1,89,761,0.464,2114,0.42,888,0.162,343,0.787,270,0.128,,24.6,310,469,2231,8.8,196,0.272,575,0.322,185,1539,0.457,703,46.9,1071,0.49,9.8,248,67.9,362,2577,20.03,5.7,127,9.22,0.489,939,0.361,339,983,0.606,596,53.1,1214,0.6,13.6,338,0.719,23
DAYTON,DAYTON,58.3,458,5,6,11.3,124,atlantic-10,4,14,792,0.567,1647,0.477,786,0.372,613,0.734,450,0.273,31,0,15,7,1245,Dayton,,115.3,26.8,254,50.7,387,10.1,92,692,0.479,1837,0.415,763,0.218,401,0.733,294,0.16,,29.0,324,515,2055,8.9,178,0.404,742,0.317,235,1095,0.482,528,49.3,1016,0.507,13.4,315,64.6,416,2317,13.55,8.3,167,5.1,0.446,734,0.402,295,913,0.538,491,50.7,1046,0.598,14.1,317,0.774,24
DRAKE,DRAKE,55.9,541,5,6,4.5,53,mvc,4,16,900,0.552,2020,0.479,967,0.33,667,0.76,507,0.251,34,0,16,6,1395,Drake,,114.5,24.2,270,41.4,358,7.3,89,844,0.508,1945,0.444,864,0.306,596,0.703,419,0.215,,22.6,263,588,2397,7.8,187,0.391,761,0.329,250,1184,0.519,614,48.6,1107,0.538,15.8,418,68.5,549,2736,11.19,9.2,219,1.52,0.398,804,0.367,295,1216,0.553,672,51.4,1170,0.585,12.3,329,0.824,28
DUKE,DUKE,54.0,493,4,7,9.9,118,acc,5,15,832,0.552,1896,0.482,913,0.338,640,0.722,462,0.244,32,3,15,8,1280,Duke,,117.9,31.9,337,50.8,405,11.8,140,719,0.49,1844,0.432,797,0.276,509,0.69,351,0.19,,25.8,290,515,2158,7.9,171,0.355,654,0.326,213,1190,0.491,584,46.3,1009,0.517,14.9,366,67.7,505,2555,20.24,9.5,206,7.84,0.373,708,0.377,267,1188,0.544,646,53.7,1169,0.581,12.4,311,0.75,24
DUQUESNE,DUQUESNE,53.6,457,6,5,12.8,150,atlantic-10,8,10,838,0.507,1936,0.441,853,0.327,634,0.718,455,0.235,34,4,13,11,1360,Duquesne,,106.0,30.2,352,52.9,417,10.9,128,813,0.48,1874,0.42,788,0.35,656,0.701,460,0.245,,29.6,353,578,2260,9.3,213,0.373,699,0.32,224,1175,0.48,564,49.5,1166,0.517,17.1,450,67.2,586,2420,7.32,11.1,254,3.92,0.393,761,0.34,259,1175,0.506,594,50.5,1190,0.541,15.2,400,0.676,23
FLORIDA,FLORIDA,50.6,515,7,3,12.1,178,sec,7,11,951,0.52,2217,0.459,1018,0.386,856,0.711,609,0.275,34,1,14,10,1385,Florida,,115.5,37.8,504,40.5,386,9.3,134,829,0.486,2196,0.434,952,0.342,750,0.703,527,0.24,,29.2,392,659,2663,10.1,254,0.327,719,0.323,232,1477,0.487,720,45.6,1221,0.522,12.5,365,72.9,625,2913,15.82,8.9,225,8.46,0.349,774,0.346,268,1443,0.52,750,54.4,1455,0.555,13.3,401,0.706,24
FLORIDA-ATLANTIC,FLORIDA-ATLANTIC,51.0,495,5,5,7.7,100,aac,4,14,869,0.55,2017,0.481,970,0.349,703,0.718,505,0.25,33,1,13,8,1345,Florida Atlantic,,117.2,33.7,387,38.1,336,6.7,83,761,0.497,2027,0.436,883,0.275,557,0.727,405,0.2,,29.1,357,598,2418,8.3,192,0.362,733,0.337,247,1294,0.491,636,47.1,1118,0.528,14.3,382,69.1,529,2724,13.89,10.1,235,4.62,0.388,783,0.356,279,1234,0.56,691,52.9,1256,0.579,13.5,367,0.758,25
GONZAGA,GONZAGA,51.7,530,2,8,10.3,128,wcc,2,14,896,0.572,1985,0.516,1025,0.312,620,0.721,447,0.225,32,2,13,7,1280,Gonzaga,,120.9,34.0,350,47.5,380,6.3,86,680,0.467,1974,0.405,800,0.255,503,0.722,363,0.184,,27.0,331,543,2207,7.8,175,0.37,731,0.334,244,1243,0.447,556,44.8,1011,0.499,14.3,369,70.2,503,2716,17.32,9.9,222,3.03,0.312,619,0.354,219,1366,0.59,806,55.2,1246,0.596,12.1,313,0.781,25
GRAMBLING,GRAMBLING,41.1,332,9,7,8.2,105,swac,4,14,766,0.489,1834,0.44,807,0.391,717,0.706,506,0.276,34,3,9,14,1373,Grambling,,99.9,30.1,328,54.5,454,7.4,97,763,0.49,1925,0.433,833,0.326,627,0.735,461,0.239,,32.3,365,562,2347,10.5,241,0.337,649,0.339,220,1276,0.48,613,50.8,1128,0.528,16.5,439,67.1,544,2298,-10.15,11.0,252,-6.41,0.286,525,0.339,178,1309,0.481,629,49.2,1094,0.528,17.3,456,0.588,20
