,abbreviation,assist_percentage,assists,away_losses,away_wins,block_percentage,blocks,conference,conference_losses,conference_wins,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,free_throws_per_field_goal_attempt,games_played,home_losses,home_wins,losses,minutes_played,name,net_rating,offensive_rating,offensive_rebound_percentage,offensive_rebounds,opp_assist_percentage,opp_assists,opp_block_percentage,opp_blocks,opp_defensive_rebounds,opp_effective_field_goal_percentage,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempt_rate,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_free_throws_per_field_goal_attempt,opp_offensive_rating,opp_offensive_rebound_percentage,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steal_percentage,opp_steals,opp_three_point_attempt_rate,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,opp_total_rebound_percentage,opp_total_rebounds,opp_true_shooting_percentage,opp_turnover_percentage,opp_turnovers,pace,personal_fouls,points,simple_rating_system,steal_percentage,steals,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,win_percentage,wins
NORTH-CAROLINA,NORTH-CAROLINA,51.6,493,2,8,10.4,139,acc,3,17,987,0.513,2125,0.449,955,0.368,783,0.754,590,0.278,34,1,14,7,1365,North Carolina,,113.6,32.8,412,40.6,347,9.6,131,844,0.464,2097,0.407,854,0.283,594,0.744,442,0.211,,23.4,302,639,2388,7.8,191,0.361,757,0.314,238,1340,0.46,616,45.0,1146,0.502,13.2,363,71.4,566,2770,21.0,8.1,197,9.76,0.359,763,0.354,270,1362,0.503,685,55.0,1399,0.555,12.3,351,0.794,27
NORTHWESTERN,NORTHWESTERN,59.7,502,7,4,9.9,105,big-ten,8,12,728,0.532,1832,0.459,841,0.299,548,0.748,410,0.224,32,2,15,11,1300,Northwestern,,112.2,25.6,269,59.2,447,10.3,119,780,0.516,1677,0.45,755,0.394,661,0.72,476,0.284,,28.2,286,537,2208,7.2,152,0.369,619,0.359,222,1058,0.504,533,51.7,1066,0.555,16.5,394,64.7,568,2358,12.75,10.6,222,8.06,0.368,675,0.394,266,1157,0.497,575,48.3,997,0.563,11.8,280,0.656,21
OAKLAND,OAKLAND,53.9,493,7,9,7.9,96,horizon,5,15,860,0.521,2035,0.45,915,0.309,629,0.758,477,0.234,34,3,10,11,1380,Oakland,,110.4,30.5,358,62.4,559,8.0,97,815,0.506,2050,0.437,896,0.268,550,0.735,404,0.197,,28.8,348,559,2479,8.9,209,0.407,835,0.339,283,1215,0.505,613,48.8,1163,0.536,14.2,384,68.2,513,2598,1.6,9.7,228,-1.9,0.407,829,0.351,291,1206,0.517,624,51.2,1218,0.557,14.1,382,0.676,23
OREGON,OREGON,50.7,468,5,6,9.8,121,pac-12,8,12,825,0.518,2021,0.457,923,0.323,652,0.715,466,0.231,34,3,13,11,1363,Oregon,,109.4,28.7,338,50.1,438,9.3,119,841,0.515,1928,0.453,874,0.328,632,0.722,456,0.237,,27.1,306,597,2443,7.8,182,0.36,695,0.344,239,1233,0.515,635,49.7,1147,0.548,15.9,420,68.6,562,2561,12.26,10.5,246,8.79,0.367,741,0.336,249,1280,0.527,674,50.3,1163,0.549,13.0,347,0.676,23
PURDUE,PURDUE,64.5,607,3,7,9.6,125,big-ten,3,17,931,0.56,1927,0.488,941,0.428,825,0.721,595,0.309,33,0,16,4,1335,Purdue,,119.6,37.4,401,55.1,476,6.0,75,672,0.477,2064,0.419,864,0.23,475,0.724,344,0.167,,24.7,306,682,2315,9.8,226,0.372,768,0.314,241,1296,0.481,623,42.3,978,0.506,12.3,322,69.0,474,2752,24.78,8.1,187,11.54,0.35,674,0.408,275,1253,0.532,666,57.7,1332,0.593,14.0,379,0.879,29
SAINT-MARYS-CA,SAINT-MARYS-CA,58.7,534,0,9,10.5,129,wcc,1,15,871,0.534,1940,0.469,910,0.288,559,0.678,379,0.195,33,4,14,7,1330,Saint Mary's (CA),,116.0,39.7,434,47.2,326,7.1,88,660,0.442,1748,0.395,691,0.316,552,0.714,394,0.225,,22.2,248,526,1938,8.2,174,0.294,514,0.315,162,1234,0.429,529,41.0,908,0.482,15.1,358,63.5,535,2450,16.96,10.2,216,3.43,0.365,708,0.355,251,1232,0.535,659,59.0,1305,0.555,13.2,334,0.788,26
SAINT-PETERS,SAINT-PETERS,49.3,347,8,8,12.6,136,maac,8,12,737,0.45,1775,0.397,704,0.391,694,0.713,495,0.279,32,5,8,13,1285,Saint Peter's,,99.5,35.1,403,51.0,347,10.5,127,745,0.469,1643,0.414,680,0.425,698,0.699,488,0.297,,29.9,314,596,2030,10.0,211,0.344,566,0.322,182,1077,0.462,498,48.2,1059,0.514,18.0,434,65.4,618,2091,-4.12,11.0,231,-6.0,0.319,566,0.332,188,1209,0.427,516,51.8,1140,0.497,16.2,408,0.594,19
SAMFORD,SAMFORD,58.2,596,5,8,10.8,130,southern,3,15,860,0.573,2079,0.493,1024,0.357,742,0.728,540,0.26,34,0,18,5,1360,Samford,,115.8,30.7,357,53.4,460,10.4,128,805,0.497,2010,0.429,862,0.375,753,0.688,518,0.258,,32.1,406,646,2514,10.6,268,0.4,804,0.338,272,1206,0.489,590,49.9,1211,0.531,19.3,565,74.3,647,2923,6.26,13.5,340,-3.71,0.41,852,0.393,335,1227,0.562,689,50.1,1217,0.601,15.6,448,0.853,29
SAN-DIEGO-STATE,SAN-DIEGO-STATE,50.7,446,8,6,12.0,137,mwc,7,11,896,0.499,1999,0.44,880,0.369,737,0.733,540,0.27,34,1,14,10,1385,San Diego State,,109.0,33.3,399,49.0,386,8.8,109,800,0.468,1945,0.405,787,0.322,627,0.708,444,0.228,,27.3,337,640,2263,8.7,202,0.412,802,0.305,245,1143,0.474,542,46.8,1137,0.504,15.9,423,67.2,596,2536,15.31,10.7,248,8.47,0.378,755,0.313,236,1244,0.518,644,53.2,1295,0.54,13.8,376,0.706,24
SOUTH-CAROLINA,SOUTH-CAROLINA,60.4,507,3,8,8.2,105,sec,5,13,805,0.508,1914,0.439,840,0.318,608,0.714,434,0.227,33,3,14,7,1330,South Carolina,,110.4,33.1,379,47.3,377,13.4,151,766,0.48,1866,0.427,797,0.308,575,0.73,420,0.225,,28.0,313,540,2210,8.8,190,0.312,583,0.336,196,1283,0.468,601,47.7,1079,0.517,13.1,322,64.7,528,2377,11.55,7.4,159,6.49,0.41,785,0.335,263,1129,0.511,577,52.3,1184,0.54,13.1,333,0.788,26
SOUTH-DAKOTA-STATE,SOUTH-DAKOTA-STATE,45.6,435,5,6,10.3,110,summit,4,12,930,0.556,1976,0.483,954,0.295,582,0.708,412,0.209,34,3,11,12,1370,South Dakota State,,111.0,25.1,282,48.8,411,8.2,97,840,0.499,2022,0.417,843,0.26,526,0.745,392,0.194,,24.7,305,587,2408,9.7,227,0.472,955,0.346,330,1067,0.481,513,48.6,1145,0.53,14.5,386,68.7,488,2610,0.72,8.9,209,-3.16,0.404,799,0.363,290,1177,0.564,664,51.4,1212,0.579,14.4,380,0.647,22
STETSON,STETSON,49.2,459,10,6,8.0,104,atlantic-sun,5,11,857,0.545,1998,0.467,933,0.3,599,0.766,459,0.23,34,2,14,12,1365,Stetson,,114.5,29.3,329,50.2,462,7.6,88,793,0.502,2098,0.439,920,0.246,516,0.713,368,0.175,,30.5,376,562,2475,8.8,202,0.381,799,0.334,267,1299,0.503,653,49.6,1169,0.528,12.2,326,67.4,504,2635,-4.51,7.9,181,-3.86,0.419,837,0.37,310,1161,0.537,623,50.4,1186,0.577,13.5,355,0.647,22
TEXAS-CHRISTIAN,TEXAS-CHRISTIAN,59.8,562,5,6,10.2,124,big-12,9,9,810,0.519,2022,0.465,940,0.351,710,0.73,518,0.256,33,4,12,12,1340,TCU,,110.6,35.5,412,56.4,470,8.7,123,749,0.503,1872,0.446,834,0.357,668,0.699,467,0.249,,28.6,324,586,2351,9.4,223,0.352,659,0.328,216,1213,0.509,618,46.8,1073,0.537,18.3,492,70.6,580,2615,15.67,12.6,299,7.67,0.302,610,0.356,217,1412,0.512,723,53.2,1222,0.554,15.2,424,0.636,21
TENNESSEE,TENNESSEE,61.2,537,3,8,13.6,149,sec,4,14,868,0.515,1976,0.444,878,0.343,678,0.749,508,0.257,32,2,14,8,1280,Tennessee,,112.5,32.4,374,49.5,360,8.0,93,780,0.454,1870,0.389,728,0.358,669,0.707,473,0.253,,28.6,347,585,2172,9.3,211,0.414,774,0.314,243,1096,0.443,485,47.6,1127,0.496,16.3,427,70.6,558,2543,21.8,11.2,254,10.2,0.413,816,0.342,279,1160,0.516,599,52.4,1242,0.553,12.5,329,0.75,24
TEXAS,TEXAS,56.5,503,6,4,11.7,144,big-12,9,9,782,0.537,1878,0.474,890,0.304,571,0.757,432,0.23,32,4,14,12,1285,Texas,,111.8,30.5,324,47.4,373,9.0,110,739,0.49,1817,0.433,787,0.35,636,0.719,457,0.252,,30.0,335,521,2236,9.3,203,0.324,588,0.349,205,1229,0.474,582,49.3,1074,0.528,16.1,407,68.2,559,2449,16.05,10.5,230,9.4,0.348,654,0.362,237,1224,0.533,653,50.7,1106,0.57,14.5,364,0.625,20
TEXAS-AM,TEXAS-AM,44.5,384,6,6,9.0,98,sec,9,9,865,0.454,2158,0.399,862,0.382,825,0.709,585,0.271,34,5,10,14,1365,Texas A&M,,110.5,42.0,587,59.9,501,13.6,181,812,0.501,1970,0.425,837,0.312,614,0.707,434,0.22,,28.0,337,665,2408,7.8,180,0.449,884,0.339,300,1086,0.494,537,44.2,1149,0.532,14.7,389,67.5,566,2543,13.06,10.5,242,9.09,0.381,823,0.284,234,1335,0.47,628,55.8,1452,0.499,11.4,327,0.588,20
TEXAS-TECH,TEXAS-TECH,57.0,486,6,4,7.0,84,big-12,7,11,829,0.528,1881,0.453,853,0.346,650,0.778,506,0.269,33,2,15,10,1325,Texas Tech,,112.0,30.2,326,46.8,392,10.1,112,754,0.491,1956,0.428,837,0.266,520,0.71,369,0.189,,30.3,361,567,2288,8.7,194,0.39,763,0.321,245,1193,0.496,592,49.1,1115,0.519,14.7,379,67.2,488,2494,15.98,9.0,201,9.74,0.411,773,0.365,282,1108,0.515,571,50.9,1155,0.569,14.4,368,0.697,23
ALABAMA-BIRMINGHAM,ALABAMA-BIRMINGHAM,50.1,444,5,7,12.0,152,aac,6,12,832,0.501,1969,0.45,886,0.4,788,0.747,589,0.299,33,5,12,11,1340,UAB,,111.3,35.7,428,48.8,436,9.9,134,771,0.51,2006,0.446,894,0.308,618,0.717,443,0.221,,30.9,372,616,2489,10.0,230,0.369,740,0.349,258,1266,0.502,636,47.6,1143,0.541,14.1,376,68.7,524,2561,4.91,9.4,216,3.78,0.314,619,0.323,200,1350,0.508,686,52.4,1260,0.546,14.1,384,0.667,22
UTAH-STATE,UTAH-STATE,57.4,541,4,8,11.0,135,mwc,4,14,878,0.548,1912,0.493,943,0.393,752,0.715,538,0.281,33,1,14,6,1340,Utah State,,113.7,29.3,320,49.1,414,5.9,75,771,0.489,1935,0.436,844,0.304,589,0.727,428,0.221,,25.2,296,622,2319,9.2,212,0.367,710,0.286,203,1225,0.523,641,47.1,1067,0.524,15.1,394,69.1,561,2633,12.17,9.6,223,4.75,0.331,632,0.331,209,1280,0.573,734,52.9,1198,0.58,14.0,368,0.818,27
VERMONT,VERMONT,53.0,466,4,10,10.7,133,america-east,1,15,924,0.533,1928,0.456,880,0.291,561,0.72,404,0.21,34,1,16,6,1365,Vermont,,109.9,23.2,262,42.5,334,10.1,108,865,0.462,1937,0.406,786,0.254,492,0.715,352,0.182,,23.3,280,516,2141,7.6,171,0.357,692,0.314,217,1245,0.457,569,49.1,1145,0.493,13.6,342,65.6,469,2459,2.92,8.8,198,-3.89,0.445,858,0.344,295,1070,0.547,585,50.9,1186,0.56,12.4,310,0.824,28
VIRGINIA,VIRGINIA,63.4,503,6,5,15.9,168,acc,7,13,792,0.493,1831,0.434,794,0.251,460,0.637,293,0.16,33,2,15,10,1335,Virginia,,102.7,26.0,291,52.1,368,8.7,107,828,0.462,1758,0.402,706,0.257,452,0.75,339,0.193,,28.1,310,429,1966,8.3,169,0.399,701,0.304,213,1057,0.466,493,51.2,1138,0.498,16.7,395,61.2,445,2098,11.0,11.5,235,7.0,0.327,598,0.363,217,1233,0.468,577,48.8,1083,0.512,11.6,270,0.697,23
WAGNER,WAGNER,56.2,397,10,9,7.0,69,northeast,9,7,773,0.454,1800,0.392,706,0.262,472,0.71,335,0.186,31,5,7,15,1255,Wagner,,99.8,30.7,358,59.7,417,9.2,102,807,0.479,1669,0.418,698,0.291,485,0.674,327,0.196,,26.3,276,437,1925,7.5,149,0.41,685,0.295,202,984,0.504,496,48.9,1083,0.507,15.6,350,62.9,478,1970,-10.86,9.4,185,-9.51,0.384,692,0.322,223,1108,0.436,483,51.1,1131,0.487,13.3,310,0.516,16
WASHINGTON-STATE,WASHINGTON-STATE,45.7,414,4,6,12.5,160,pac-12,6,14,874,0.521,1940,0.466,905,0.317,615,0.701,431,0.222,33,2,15,9,1330,Washington State,,110.6,32.9,370,44.3,348,6.6,87,754,0.472,1863,0.422,786,0.326,608,0.735,447,0.24,,24.8,289,561,2207,8.3,185,0.315,587,0.32,188,1276,0.469,598,45.6,1043,0.513,14.0,351,66.7,553,2452,14.28,7.8,173,6.86,0.32,621,0.34,211,1319,0.526,694,54.4,1244,0.549,13.8,357,0.727,24
WESTERN-KENTUCKY,WESTERN-KENTUCKY,45.1,437,7,6,8.6,106,cusa,8,8,967,0.522,2069,0.468,968,0.335,693,0.719,498,0.241,33,2,12,11,1321,Western Kentucky,,106.0,28.8,347,49.2,421,9.7,136,856,0.477,2075,0.413,856,0.324,672,0.693,466,0.225,,26.6,350,599,2444,9.5,238,0.405,841,0.316,266,1234,0.478,590,47.9,1206,0.51,16.4,470,76.0,610,2659,1.44,10.2,255,-3.4,0.32,662,0.34,225,1407,0.528,743,52.1,1314,0.554,15.9,452,0.667,22
WISCONSIN,WISCONSIN,47.4,428,9,3,4.5,55,big-ten,9,11,817,0.524,1952,0.463,903,0.335,653,0.755,493,0.253,34,3,14,12,1375,Wisconsin,,112.5,30.3,341,47.2,398,10.7,135,783,0.52,1848,0.456,843,0.326,603,0.718,433,0.234,,23.9,256,619,2355,7.3,165,0.344,635,0.372,236,1213,0.5,607,47.3,1039,0.552,15.3,385,65.7,555,2540,16.89,9.3,211,11.45,0.355,693,0.348,241,1259,0.526,662,52.7,1158,0.561,12.8,332,0.647,22
YALE,YALE,53.4,454,6,9,9.6,96,ivy,3,11,810,0.533,1799,0.472,850,0.273,491,0.713,350,0.195,30,2,9,9,1220,Yale,,112.5,29.4,299,58.0,411,8.7,102,718,0.484,1710,0.415,709,0.274,469,0.742,348,0.204,,23.6,250,480,2004,8.2,165,0.416,712,0.334,238,998,0.472,471,46.6,968,0.518,14.6,330,66.1,451,2268,5.05,9.0,181,-0.52,0.348,626,0.348,218,1173,0.539,632,53.4,1109,0.558,12.3,285,0.7,21
