team_unique,overall_seed,seed,region,round_started
Auburn,1,1,SOUTH,2
Duke,2,1,EAST,2
Houston,3,1,MIDWEST,2
Florida,4,1,WEST,2
Tennessee,5,2,MIDWEST,2
Alabama,6,2,EAST,2
Michigan-State,7,2,SOUTH,2
St-Johns-NY,8,2,WEST,2
Texas-Tech,9,3,WEST,2
Iowa-State,10,3,SOUTH,2
Kentucky,11,3,MIDWEST,2
Wisconsin,12,3,EAST,2
Texas-AM,13,4,SOUTH,2
Purdue,14,4,MIDWEST,2
Maryland,15,4,WEST,2
Arizona,16,4,EAST,2
Michigan,17,5,SOUTH,2
Clemson,18,5,MIDWEST,2
Oregon,19,5,EAST,2
Memphis,20,5,WEST,2
Brigham-Young,21,6,EAST,2
Illinois,22,6,MIDWEST,2
Missouri,23,6,WEST,2
Mississippi,24,6,SOUTH,2
UCLA,25,7,MIDWEST,2
Marquette,26,7,SOUTH,2
Saint-Marys-CA,27,7,EAST,2
Kansas,28,7,WEST,2
Louisville,29,8,SOUTH,2
Gonzaga,30,8,MIDWEST,2
Connecticut,31,8,WEST,2
Mississippi-State,32,8,EAST,2
Creighton,33,9,SOUTH,2
Georgia,34,9,MIDWEST,2
Baylor,35,9,EAST,2
Oklahoma,36,9,WEST,2
Arkansas,37,10,WEST,2
New-Mexico,38,10,SOUTH,2
Vanderbilt,39,10,EAST,2
Utah-State,40,10,MIDWEST,2
Texas,41,11,MIDWEST,1
Xavier,42,11,MIDWEST,1
San-Diego-State,43,11,SOUTH,1
Drake,44,11,WEST,2
Virginia-Commonwealth,45,11,EAST,2
North-Carolina,46,11,SOUTH,1
California-San-Diego,47,12,SOUTH,2
Colorado-State,48,12,WEST,2
McNeese-State,49,12,MIDWEST,2
Liberty,50,12,EAST,2
Yale,51,13,SOUTH,2
High-Point,52,13,MIDWEST,2
Akron,53,13,EAST,2
Grand-Canyon,54,13,WEST,2
Lipscomb,55,14,SOUTH,2
Troy,56,14,MIDWEST,2
North-Carolina-Wilmington,57,14,WEST,2
Montana,58,14,EAST,2
Robert-Morris,59,15,EAST,2
Wofford,60,15,MIDWEST,2
Nebraska-Omaha,61,15,WEST,2
Bryant,62,15,SOUTH,2
Norfolk-State,63,16,WEST,2
Southern-Illinois-Edwardsville,64,16,MIDWEST,2
American,65,16,EAST,1
Mount-St-Marys,66,16,EAST,1
Alabama-State,67,16,SOUTH,1
Saint-Francis-Pa,68,16,SOUTH,1
