assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_rebounds,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,games_played,games_started,height,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_rebounds,offensive_win_shares,personal_fouls,player_efficiency_rating,player_id,points,points_produced,position,steal_percentage,steals,team_abbreviation,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,weight,win_shares,win_shares_per_40_minutes,name
8,29,0.2,1,0.7,mac,2.2,11.9,67,1.1,0.596,115,0.504,58,0.13,15,0.667,10,33,5,,660,-1.5,5.2,29,0.7,55,11.9,nate-johnson-8,147,149,Guard,3.1,34,AKRON,0.435,50,0.42,21,8.6,96,0.602,21.3,33,65,0.569,37,12.1,,1.8,0.109,Nate Johnson
8,29,0.2,1,0.7,mac,2.2,11.9,67,1.1,0.596,115,0.504,58,0.13,15,0.667,10,33,5,,660,-1.5,5.2,29,0.7,55,11.9,nate-johnson-8,147,149,Guard,3.1,34,AKRON,0.435,50,0.42,21,8.6,96,0.602,21.3,33,65,0.569,37,12.1,,1.8,0.109,Nate Johnson
23.2,55,0.9,4,-0.9,mac,1.9,12,48,0.8,0.483,145,0.407,59,0.083,12,0.583,7,32,9,,466,-2.8,2,8,0.1,44,11.9,tavari-johnson-1,147,157,Guard,3.2,25,AKRON,0.434,63,0.349,22,7.1,56,0.488,21.4,41,82,0.451,37,21.3,,0.9,0.08,Tavari Johnson
23.2,55,0.9,4,-0.9,mac,1.9,12,48,0.8,0.483,145,0.407,59,0.083,12,0.583,7,32,9,,466,-2.8,2,8,0.1,44,11.9,tavari-johnson-1,147,157,Guard,3.2,25,AKRON,0.434,63,0.349,22,7.1,56,0.488,21.4,41,82,0.451,37,21.3,,0.9,0.08,Tavari Johnson
16.6,22,1,2,-10.1,mac,-1.2,14.2,30,0.3,0.462,52,0.442,23,0.385,20,0.55,11,22,0,,221,-8.9,2.6,5,0,26,8.9,isaiah-gray-1,59,65,Guard,2.5,10,AKRON,0.269,14,0.143,2,8.6,35,0.48,24.5,20,38,0.553,21,17.7,,0.3,0.049,Isaiah Gray
16.6,22,1,2,-10.1,mac,-1.2,14.2,30,0.3,0.462,52,0.442,23,0.385,20,0.55,11,22,0,,221,-8.9,2.6,5,0,26,8.9,isaiah-gray-1,59,65,Guard,2.5,10,AKRON,0.269,14,0.143,2,8.6,35,0.48,24.5,20,38,0.553,21,17.7,,0.3,0.049,Isaiah Gray
12.2,20,0,0,-2.1,mac,1.2,9.3,25,0.3,0.403,72,0.333,24,0.139,10,0.8,8,25,4,,295,-3.3,1.6,4,0,17,7,shammah-scott-1,66,68,Guard,1.8,9,AKRON,0.389,28,0.357,10,5.7,29,0.43,15.4,14,44,0.318,14,15.9,,0.3,0.041,Shammah Scott
12.2,20,0,0,-2.1,mac,1.2,9.3,25,0.3,0.403,72,0.333,24,0.139,10,0.8,8,25,4,,295,-3.3,1.6,4,0,17,7,shammah-scott-1,66,68,Guard,1.8,9,AKRON,0.389,28,0.357,10,5.7,29,0.43,15.4,14,44,0.318,14,15.9,,0.3,0.041,Shammah Scott
18.3,59,0,0,2.2,mac,1.1,8.8,45,0.8,0.584,196,0.469,92,0.184,36,0.806,29,34,0,,545,1.1,3.9,19,1.2,68,17.5,sharron-young-1,258,246,Guard,3.5,35,AKRON,0.566,111,0.405,45,6.4,64,0.605,16.8,43,85,0.553,47,22.3,,2,0.15,Sharron Young
18.3,59,0,0,2.2,mac,1.1,8.8,45,0.8,0.584,196,0.469,92,0.184,36,0.806,29,34,0,,545,1.1,3.9,19,1.2,68,17.5,sharron-young-1,258,246,Guard,3.5,35,AKRON,0.566,111,0.405,45,6.4,64,0.605,16.8,43,85,0.553,47,22.3,,2,0.15,Sharron Young
6.5,4,6,7,-1.3,mac,3.5,7.3,8,0.3,0.513,39,0.513,20,0.718,28,0.607,17,28,0,,128,-4.8,16.7,18,0.3,37,21,amani-lyles-1,57,60,Forward,3.7,8,AKRON,0.026,1,0,0,12,26,0.545,13.3,8,38,0.526,20,24.3,,0.6,0.188,Amani Lyles
6.5,4,6,7,-1.3,mac,3.5,7.3,8,0.3,0.513,39,0.513,20,0.718,28,0.607,17,28,0,,128,-4.8,16.7,18,0.3,37,21,amani-lyles-1,57,60,Forward,3.7,8,AKRON,0.026,1,0,0,12,26,0.545,13.3,8,38,0.526,20,24.3,,0.6,0.188,Amani Lyles
0,0,10.5,1,-0.4,mac,2.4,22.5,2,0,0.333,3,0.333,1,0,0,,0,3,0,,11,-2.8,0,0,0,0,8.4,james-okonkwo-1,2,2,Forward,0,0,AKRON,0,0,,0,10.6,2,0.333,0,0,3,0.333,1,13.7,,0,0.026,James Okonkwo
0,0,10.5,1,-0.4,mac,2.4,22.5,2,0,0.333,3,0.333,1,0,0,,0,3,0,,11,-2.8,0,0,0,0,8.4,james-okonkwo-1,2,2,Forward,0,0,AKRON,0,0,,0,10.6,2,0.333,0,0,3,0.333,1,13.7,,0,0.026,James Okonkwo
0,0,0,0,7.5,mac,0.1,0,0,0,0.75,8,0.5,4,0,0,,0,7,0,,18,7.3,0,0,0.1,2,25.5,bowen-hardman-1,12,8,Guard,0,0,AKRON,1,8,0.5,4,0,0,0.75,0,0,0,,0,23.3,,0.1,0.224,Bowen Hardman
0,0,0,0,7.5,mac,0.1,0,0,0,0.75,8,0.5,4,0,0,,0,7,0,,18,7.3,0,0,0.1,2,25.5,bowen-hardman-1,12,8,Guard,0,0,AKRON,1,8,0.5,4,0,0,0.75,0,0,0,,0,23.3,,0.1,0.224,Bowen Hardman
9.4,7,0,0,0.2,mac,0.9,5.8,7,0.1,0.351,47,0.298,14,0.128,6,0.667,4,20,0,,150,-0.7,5.9,8,0,13,8.7,seth-wilson-1,37,39,Guard,2.7,7,AKRON,0.468,22,0.227,5,5.9,15,0.371,3.9,2,25,0.36,9,17.4,,0.2,0.05,Seth Wilson
9.4,7,0,0,0.2,mac,0.9,5.8,7,0.1,0.351,47,0.298,14,0.128,6,0.667,4,20,0,,150,-0.7,5.9,8,0,13,8.7,seth-wilson-1,37,39,Guard,2.7,7,AKRON,0.468,22,0.227,5,5.9,15,0.371,3.9,2,25,0.36,9,17.4,,0.2,0.05,Seth Wilson
7.8,13,1.2,3,-3,mac,-0.3,19.9,48,0.4,0.69,42,0.69,29,0.31,13,0.308,4,31,3,,258,-2.7,14.3,33,0.5,53,13.1,marvin-musiime-kamali-1,62,73,Forward,0.6,3,AKRON,0,0,,0,17.1,81,0.643,19.9,12,42,0.69,29,11.1,,0.9,0.132,Marvin Musiime-Kamali
7.8,13,1.2,3,-3,mac,-0.3,19.9,48,0.4,0.69,42,0.69,29,0.31,13,0.308,4,31,3,,258,-2.7,14.3,33,0.5,53,13.1,marvin-musiime-kamali-1,62,73,Forward,0.6,3,AKRON,0,0,,0,17.1,81,0.643,19.9,12,42,0.69,29,11.1,,0.9,0.132,Marvin Musiime-Kamali
3.3,2,0,0,1.3,mac,1,11.4,10,0.1,0.446,28,0.357,10,0.214,6,0.833,5,17,0,,110,0.3,5.5,5,0.1,9,9.6,josiah-harris-1,30,29,Forward,2.1,4,AKRON,0.571,16,0.313,5,8.4,15,0.486,11.5,4,12,0.417,5,15.7,,0.2,0.081,Josiah Harris
3.3,2,0,0,1.3,mac,1,11.4,10,0.1,0.446,28,0.357,10,0.214,6,0.833,5,17,0,,110,0.3,5.5,5,0.1,9,9.6,josiah-harris-1,30,29,Forward,2.1,4,AKRON,0.571,16,0.313,5,8.4,15,0.486,11.5,4,12,0.417,5,15.7,,0.2,0.081,Josiah Harris
26.7,2,0,0,3.9,mac,1,0,0,0,0.25,4,0.25,1,0,0,,0,6,0,,14,2.9,0,0,0,1,7.1,evan-wilson-1,2,3,Guard,4.5,1,AKRON,0.75,3,0,0,0,0,0.25,0,0,1,1,1,15.5,,0,0.05,Evan Wilson
26.7,2,0,0,3.9,mac,1,0,0,0,0.25,4,0.25,1,0,0,,0,6,0,,14,2.9,0,0,0,1,7.1,evan-wilson-1,2,3,Guard,4.5,1,AKRON,0.75,3,0,0,0,0,0.25,0,0,1,1,1,15.5,,0,0.05,Evan Wilson
38.6,4,0,0,-17.3,mac,-2.9,12.1,2,0,0.25,8,0.25,2,0,0,,0,5,0,,19,-14.3,0,0,0,1,2.2,zach-halligan-1,4,6,Guard,0,0,AKRON,0.75,6,0,0,6.1,2,0.25,11.1,1,2,1,2,24.5,,0,-0.036,Zach Halligan
38.6,4,0,0,-17.3,mac,-2.9,12.1,2,0,0.25,8,0.25,2,0,0,,0,5,0,,19,-14.3,0,0,0,1,2.2,zach-halligan-1,4,6,Guard,0,0,AKRON,0.75,6,0,0,6.1,2,0.25,11.1,1,2,1,2,24.5,,0,-0.036,Zach Halligan
29.3,81,0.2,1,5.3,sec,1.6,11.5,47,0.6,0.511,137,0.467,64,0.54,74,0.851,63,24,5,,468,3.7,4.8,19,1.8,35,23.2,mark-sears-1,203,230,Guard,2.9,24,ALABAMA,0.314,43,0.279,12,8.2,66,0.59,14.4,29,94,0.553,52,21.1,,2.4,0.205,Mark Sears
29.3,81,0.2,1,5.3,sec,1.6,11.5,47,0.6,0.511,137,0.467,64,0.54,74,0.851,63,24,5,,468,3.7,4.8,19,1.8,35,23.2,mark-sears-1,203,230,Guard,2.9,24,ALABAMA,0.314,43,0.279,12,8.2,66,0.59,14.4,29,94,0.553,52,21.1,,2.4,0.205,Mark Sears
6.1,17,4.9,25,-1.2,sec,0.3,14,67,0.7,0.529,136,0.471,64,0.279,38,0.711,27,27,5,,563,-1.5,7.1,33,0.5,51,13.4,grant-nelson-1,171,169,Forward,0.6,6,ALABAMA,0.331,45,0.356,16,10.6,100,0.555,21,41,91,0.527,48,18.2,,1.3,0.09,Grant Nelson
6.1,17,4.9,25,-1.2,sec,0.3,14,67,0.7,0.529,136,0.471,64,0.279,38,0.711,27,27,5,,563,-1.5,7.1,33,0.5,51,13.4,grant-nelson-1,171,169,Forward,0.6,6,ALABAMA,0.331,45,0.356,16,10.6,100,0.555,21,41,91,0.527,48,18.2,,1.3,0.09,Grant Nelson
22.1,94,0.1,1,1.6,sec,0.5,6.3,42,0.9,0.419,258,0.318,82,0.205,53,0.774,41,35,26,,702,1.1,1.5,9,0.9,43,10.9,aden-holloway-2,257,271,Guard,1.3,16,ALABAMA,0.667,172,0.302,52,4,51,0.454,9.9,31,86,0.349,30,21.8,,1.8,0.1,Aden Holloway
22.1,94,0.1,1,1.6,sec,0.5,6.3,42,0.9,0.419,258,0.318,82,0.205,53,0.774,41,35,26,,702,1.1,1.5,9,0.9,43,10.9,aden-holloway-2,257,271,Guard,1.3,16,ALABAMA,0.667,172,0.302,52,4,51,0.454,9.9,31,86,0.349,30,21.8,,1.8,0.1,Aden Holloway
24.2,118,1,9,7.9,sec,3.8,8.9,76,1,0.515,293,0.457,134,0.266,78,0.756,59,33,25,,807,4.1,4.3,32,1.8,56,17.8,labaron-philon-1,361,387,Guard,2.8,43,ALABAMA,0.386,113,0.301,34,6.8,108,0.547,14.9,58,180,0.556,100,21.7,,2.8,0.138,Labaron Philon
24.2,118,1,9,7.9,sec,3.8,8.9,76,1,0.515,293,0.457,134,0.266,78,0.756,59,33,25,,807,4.1,4.3,32,1.8,56,17.8,labaron-philon-1,361,387,Guard,2.8,43,ALABAMA,0.386,113,0.301,34,6.8,108,0.547,14.9,58,180,0.556,100,21.7,,2.8,0.138,Labaron Philon
2.1,4,5.1,16,3.7,sec,3.6,23.3,72,0.6,0.64,57,0.632,36,0.579,33,0.424,14,23,6,,343,0,6.3,19,0.5,45,15.7,clifford-omoruyi-1,87,80,Center,1.5,9,ALABAMA,0.035,2,0.5,1,14.9,91,0.599,12.1,10,55,0.636,35,12.4,,1.2,0.136,Clifford Omoruyi
2.1,4,5.1,16,3.7,sec,3.6,23.3,72,0.6,0.64,57,0.632,36,0.579,33,0.424,14,23,6,,343,0,6.3,19,0.5,45,15.7,clifford-omoruyi-1,87,80,Center,1.5,9,ALABAMA,0.035,2,0.5,1,14.9,91,0.599,12.1,10,55,0.636,35,12.4,,1.2,0.136,Clifford Omoruyi
11.8,42,1.8,13,-2.6,sec,-1,10.9,69,0.9,0.491,265,0.396,105,0.166,44,0.841,37,24,21,,776,-1.5,1.3,9,0.9,52,13.5,chris-youngblood-1,297,275,Guard,1.4,19,ALABAMA,0.57,151,0.331,50,5.9,78,0.519,12.3,40,114,0.482,55,21.3,,1.8,0.094,Chris Youngblood
11.8,42,1.8,13,-2.6,sec,-1,10.9,69,0.9,0.491,265,0.396,105,0.166,44,0.841,37,24,21,,776,-1.5,1.3,9,0.9,52,13.5,chris-youngblood-1,297,275,Guard,1.4,19,ALABAMA,0.57,151,0.331,50,5.9,78,0.519,12.3,40,114,0.482,55,21.3,,1.8,0.094,Chris Youngblood
8.8,14,6.3,16,3.2,sec,1.9,18.2,45,0.3,0.48,76,0.474,36,0.671,51,0.471,24,33,0,,256,1.3,14.7,34,0.5,39,18.5,mouhamed-dioubate-1,97,110,Forward,2.1,10,ALABAMA,0.145,11,0.091,1,16.5,79,0.484,11.5,13,65,0.538,35,20.4,,0.8,0.122,Mouhamed Dioubate
8.8,14,6.3,16,3.2,sec,1.9,18.2,45,0.3,0.48,76,0.474,36,0.671,51,0.471,24,33,0,,256,1.3,14.7,34,0.5,39,18.5,mouhamed-dioubate-1,97,110,Forward,2.1,10,ALABAMA,0.145,11,0.091,1,16.5,79,0.484,11.5,13,65,0.538,35,20.4,,0.8,0.122,Mouhamed Dioubate
4,16,2.1,13,1.1,sec,0.4,12.8,76,0.3,0.519,158,0.418,66,0.285,45,0.689,31,37,5,,614,0.6,4.1,23,0.6,64,9.6,jarin-stevenson-1,195,180,Forward,0.7,8,ALABAMA,0.639,101,0.317,32,8.6,99,0.544,15.9,34,57,0.596,34,16.1,,0.9,0.057,Jarin Stevenson
4,16,2.1,13,1.1,sec,0.4,12.8,76,0.3,0.519,158,0.418,66,0.285,45,0.689,31,37,5,,614,0.6,4.1,23,0.6,64,9.6,jarin-stevenson-1,195,180,Forward,0.7,8,ALABAMA,0.639,101,0.317,32,8.6,99,0.544,15.9,34,57,0.596,34,16.1,,0.9,0.057,Jarin Stevenson
8,15,1.5,5,3.3,sec,1.9,12.6,40,0.3,0.475,102,0.431,44,0.52,53,0.566,30,20,3,,301,1.3,7.2,20,0.4,27,13,derrion-reid-1,127,125,Forward,0.9,5,ALABAMA,0.343,35,0.257,9,10.1,60,0.499,11.8,17,67,0.522,35,21.6,,0.7,0.089,Derrion Reid
8,15,1.5,5,3.3,sec,1.9,12.6,40,0.3,0.475,102,0.431,44,0.52,53,0.566,30,20,3,,301,1.3,7.2,20,0.4,27,13,derrion-reid-1,127,125,Forward,0.9,5,ALABAMA,0.343,35,0.257,9,10.1,60,0.499,11.8,17,67,0.522,35,21.6,,0.7,0.089,Derrion Reid
6.9,12,2,6,5.4,sec,2.3,19.5,57,0.4,0.558,77,0.494,38,0.481,37,0.514,19,32,0,,276,3.1,14.1,36,0.6,39,16.9,aiden-sherrell-1,105,113,Forward,1.3,7,ALABAMA,0.442,34,0.294,10,17,93,0.555,12.9,14,43,0.651,28,17.7,,1,0.142,Aiden Sherrell
6.9,12,2,6,5.4,sec,2.3,19.5,57,0.4,0.558,77,0.494,38,0.481,37,0.514,19,32,0,,276,3.1,14.1,36,0.6,39,16.9,aiden-sherrell-1,105,113,Forward,1.3,7,ALABAMA,0.442,34,0.294,10,17,93,0.555,12.9,14,43,0.651,28,17.7,,1,0.142,Aiden Sherrell
14.3,22,0,0,-2.9,sec,-0.6,7.9,18,0.2,0.444,72,0.375,27,0.514,37,0.946,35,11,8,,271,-2.4,0.8,2,0.3,20,13.4,latrell-wrightselljr-1,99,99,Guard,3,15,ALABAMA,0.389,28,0.357,10,4.3,20,0.553,19.7,22,44,0.386,17,20.3,,0.5,0.073,Latrell Wrightsell Jr.
14.3,22,0,0,-2.9,sec,-0.6,7.9,18,0.2,0.444,72,0.375,27,0.514,37,0.946,35,11,8,,271,-2.4,0.8,2,0.3,20,13.4,latrell-wrightselljr-1,99,99,Guard,3,15,ALABAMA,0.389,28,0.357,10,4.3,20,0.553,19.7,22,44,0.386,17,20.3,,0.5,0.073,Latrell Wrightsell Jr.
12.5,60,0.7,7,1.4,sec,-0.8,11.1,99,0.5,0.541,356,0.441,157,0.185,66,0.773,51,32,29,,1014,2.2,0.9,8,1.8,70,14.8,houston-mallette-1,436,379,Guard,1.2,21,ALABAMA,0.522,186,0.382,71,5.9,107,0.563,9.8,42,170,0.506,86,20.8,,2.3,0.091,Houston Mallette
12.5,60,0.7,7,1.4,sec,-0.8,11.1,99,0.5,0.541,356,0.441,157,0.185,66,0.773,51,32,29,,1014,2.2,0.9,8,1.8,70,14.8,houston-mallette-1,436,379,Guard,1.2,21,ALABAMA,0.522,186,0.382,71,5.9,107,0.563,9.8,42,170,0.506,86,20.8,,2.3,0.091,Houston Mallette
0,0,0,0,-0.8,sec,3,18.6,1,0,,0,,0,,0,,0,3,0,,5,-3.8,21.3,1,0,2,5.3,max-scharnowski-1,0,1,Forward,0,0,ALABAMA,,0,,0,19.9,2,,,0,0,,0,0,,0,0.156,Max Scharnowski
0,0,0,0,-0.8,sec,3,18.6,1,0,,0,,0,,0,,0,3,0,,5,-3.8,21.3,1,0,2,5.3,max-scharnowski-1,0,1,Forward,0,0,ALABAMA,,0,,0,19.9,2,,,0,0,,0,0,,0,0.156,Max Scharnowski
12,13,1.8,4,-7.3,swac,-1.8,4.8,10,0.1,0.304,74,0.27,20,0.122,9,0.889,8,13,9,,234,-5.5,2.7,6,-0.4,13,2.8,amarr-knox-1,53,54,Guard,1.5,6,ALABAMA-STATE,0.378,28,0.179,5,3.7,16,0.339,17,16,46,0.326,15,20,,-0.3,-0.05,Amarr Knox
12,13,1.8,4,-7.3,swac,-1.8,4.8,10,0.1,0.304,74,0.27,20,0.122,9,0.889,8,13,9,,234,-5.5,2.7,6,-0.4,13,2.8,amarr-knox-1,53,54,Guard,1.5,6,ALABAMA-STATE,0.378,28,0.179,5,3.7,16,0.339,17,16,46,0.326,15,20,,-0.3,-0.05,Amarr Knox
21.8,84,0.6,4,-2.2,swac,-0.5,9.3,67,1.2,0.425,302,0.344,104,0.222,67,0.791,53,32,32,,827,-1.7,2.7,24,0.6,75,12.4,cj-hines-1,310,310,Guard,2.2,32,ALABAMA-STATE,0.464,140,0.35,49,5.7,91,0.464,12.3,47,162,0.34,55,22,,1.9,0.091,CJ Hines
21.8,84,0.6,4,-2.2,swac,-0.5,9.3,67,1.2,0.425,302,0.344,104,0.222,67,0.791,53,32,32,,827,-1.7,2.7,24,0.6,75,12.4,cj-hines-1,310,310,Guard,2.2,32,ALABAMA-STATE,0.464,140,0.35,49,5.7,91,0.464,12.3,47,162,0.34,55,22,,1.9,0.091,CJ Hines
19.4,99,0.3,3,-1.4,swac,-0.2,14.5,133,1.6,0.44,340,0.406,138,0.391,133,0.722,96,31,31,,1020,-1.2,3.8,41,1.3,77,14.8,antonio-madlock-1,395,398,Guard,2.2,42,ALABAMA-STATE,0.224,76,0.303,23,8.7,174,0.49,15,71,264,0.436,115,20.9,,3,0.116,TJ Madlock
19.4,99,0.3,3,-1.4,swac,-0.2,14.5,133,1.6,0.44,340,0.406,138,0.391,133,0.722,96,31,31,,1020,-1.2,3.8,41,1.3,77,14.8,antonio-madlock-1,395,398,Guard,2.2,42,ALABAMA-STATE,0.224,76,0.303,23,8.7,174,0.49,15,71,264,0.436,115,20.9,,3,0.116,TJ Madlock
13.1,40,0.6,3,-4.7,swac,-2.1,9.3,49,0.7,0.465,213,0.352,75,0.164,35,0.8,28,34,1,,594,-2.5,1.2,7,0.4,44,11.8,micah-simpson-1,226,211,Guard,2.1,22,ALABAMA-STATE,0.695,148,0.324,48,5,56,0.492,10.5,27,65,0.415,27,21.3,,1.2,0.078,Micah Simpson
13.1,40,0.6,3,-4.7,swac,-2.1,9.3,49,0.7,0.465,213,0.352,75,0.164,35,0.8,28,34,1,,594,-2.5,1.2,7,0.4,44,11.8,micah-simpson-1,226,211,Guard,2.1,22,ALABAMA-STATE,0.695,148,0.324,48,5,56,0.492,10.5,27,65,0.415,27,21.3,,1.2,0.078,Micah Simpson
4.1,7,5.6,16,-5.3,swac,-0.4,13.1,41,0.6,0.471,105,0.419,44,0.114,12,0.5,6,31,4,,361,-4.9,5.2,20,0.1,41,10.6,jasteven-walker-1,105,96,Forward,1.3,8,ALABAMA-STATE,0.362,38,0.289,11,8.7,61,0.474,12.6,16,67,0.493,33,16.8,,0.7,0.075,Jasteven Walker
4.1,7,5.6,16,-5.3,swac,-0.4,13.1,41,0.6,0.471,105,0.419,44,0.114,12,0.5,6,31,4,,361,-4.9,5.2,20,0.1,41,10.6,jasteven-walker-1,105,96,Forward,1.3,8,ALABAMA-STATE,0.362,38,0.289,11,8.7,61,0.474,12.6,16,67,0.493,33,16.8,,0.7,0.075,Jasteven Walker
12.4,2,3.9,1,-5.1,swac,-1.3,8.3,2,0,0.2,5,0.2,1,0.4,2,0,0,8,0,,27,-3.8,12,3,0,1,5.6,dante-bass-1,2,4,Forward,2.1,1,ALABAMA-STATE,0.4,2,0,0,10.2,5,0.168,14.4,1,3,0.333,1,12.8,,0,-0.055,D'Ante Bass
12.4,2,3.9,1,-5.1,swac,-1.3,8.3,2,0,0.2,5,0.2,1,0.4,2,0,0,8,0,,27,-3.8,12,3,0,1,5.6,dante-bass-1,2,4,Forward,2.1,1,ALABAMA-STATE,0.4,2,0,0,10.2,5,0.168,14.4,1,3,0.333,1,12.8,,0,-0.055,D'Ante Bass
8.3,19,0.5,2,-5.3,swac,-2.7,11.3,48,0.6,0.468,155,0.329,51,0.026,4,0.5,2,29,13,,490,-2.5,0.7,3,0.2,21,8.4,tyler-mack-1,147,130,Guard,1.1,9,ALABAMA-STATE,0.839,130,0.331,43,5.8,51,0.468,8.2,14,25,0.32,8,17.7,,0.7,0.06,Tyler Mack
8.3,19,0.5,2,-5.3,swac,-2.7,11.3,48,0.6,0.468,155,0.329,51,0.026,4,0.5,2,29,13,,490,-2.5,0.7,3,0.2,21,8.4,tyler-mack-1,147,130,Guard,1.1,9,ALABAMA-STATE,0.839,130,0.331,43,5.8,51,0.468,8.2,14,25,0.32,8,17.7,,0.7,0.06,Tyler Mack
7.3,29,2.2,14,-2.4,swac,1.4,15.7,108,1.7,0.459,185,0.384,71,0.2,37,0.568,21,32,25,,792,-3.8,7.1,60,0.3,83,12.5,micah-octave-1,191,196,Guard,3.7,51,ALABAMA-STATE,0.481,89,0.315,28,10.9,168,0.471,15.4,37,96,0.448,43,14.4,,2,0.099,Micah Octave
7.3,29,2.2,14,-2.4,swac,1.4,15.7,108,1.7,0.459,185,0.384,71,0.2,37,0.568,21,32,25,,792,-3.8,7.1,60,0.3,83,12.5,micah-octave-1,191,196,Guard,3.7,51,ALABAMA-STATE,0.481,89,0.315,28,10.9,168,0.471,15.4,37,96,0.448,43,14.4,,2,0.099,Micah Octave
24.6,94,0.3,2,-7.8,swac,-2.2,7.6,52,0.3,0.422,262,0.389,102,0.237,62,0.613,38,31,22,,783,-5.6,0.7,5,-0.6,55,8.9,shawn-fulcher-1,259,269,Guard,2.8,39,ALABAMA-STATE,0.328,86,0.198,17,4.1,57,0.444,19.6,71,176,0.483,85,22.9,,-0.3,-0.013,Shawn Fulcher
24.6,94,0.3,2,-7.8,swac,-2.2,7.6,52,0.3,0.422,262,0.389,102,0.237,62,0.613,38,31,22,,783,-5.6,0.7,5,-0.6,55,8.9,shawn-fulcher-1,259,269,Guard,2.8,39,ALABAMA-STATE,0.328,86,0.198,17,4.1,57,0.444,19.6,71,176,0.483,85,22.9,,-0.3,-0.013,Shawn Fulcher
4.1,5,1,2,-7.1,swac,-2.9,10.6,21,0.2,0.5,54,0.407,22,0.63,34,0.735,25,19,0,,224,-4.2,6.2,14,0.3,30,11.6,jalen-keago-1,79,76,Guard,1,4,ALABAMA-STATE,0.611,33,0.303,10,8.3,35,0.563,15.6,13,21,0.571,12,18.3,,0.5,0.094,Jalen Keago
4.1,5,1,2,-7.1,swac,-2.9,10.6,21,0.2,0.5,54,0.407,22,0.63,34,0.735,25,19,0,,224,-4.2,6.2,14,0.3,30,11.6,jalen-keago-1,79,76,Guard,1,4,ALABAMA-STATE,0.611,33,0.303,10,8.3,35,0.563,15.6,13,21,0.571,12,18.3,,0.5,0.094,Jalen Keago
2,6,8.4,38,-4.8,swac,0.6,21,104,1.2,0.569,65,0.569,37,0.646,42,0.619,26,31,24,,572,-5.4,15,92,0.3,85,14.1,ubong-okon-1,100,125,Center,1.6,16,ALABAMA-STATE,0.015,1,0,0,17.7,196,0.589,32.6,41,64,0.578,37,10.5,,1.5,0.107,Ubong Okon
2,6,8.4,38,-4.8,swac,0.6,21,104,1.2,0.569,65,0.569,37,0.646,42,0.619,26,31,24,,572,-5.4,15,92,0.3,85,14.1,ubong-okon-1,100,125,Center,1.6,16,ALABAMA-STATE,0.015,1,0,0,17.7,196,0.589,32.6,41,64,0.578,37,10.5,,1.5,0.107,Ubong Okon
5.8,5,4.2,5,-4.4,swac,-0.3,20.4,25,0.2,0.25,12,0.25,3,0.917,11,0.636,7,9,0,,139,-4.1,10,14,0.1,16,9.1,mario-andrews-1,13,22,Center,1.2,3,ALABAMA-STATE,0,0,,0,14.9,39,0.377,18.8,4,12,0.25,3,7.5,,0.3,0.079,Mario Andrews
5.8,5,4.2,5,-4.4,swac,-0.3,20.4,25,0.2,0.25,12,0.25,3,0.917,11,0.636,7,9,0,,139,-4.1,10,14,0.1,16,9.1,mario-andrews-1,13,22,Center,1.2,3,ALABAMA-STATE,0,0,,0,14.9,39,0.377,18.8,4,12,0.25,3,7.5,,0.3,0.079,Mario Andrews
0,0,16.6,1,16.8,swac,2.7,0,0,0,0.875,4,0.75,3,0.75,3,1,3,4,0,,7,14.1,0,0,0,1,51.9,jordon-marshall-1,10,6,Guard,0,0,ALABAMA-STATE,0.25,1,1,1,0,0,0.922,26.9,2,3,0.667,2,52.2,,0,0.248,Jordon Marshall
0,0,16.6,1,16.8,swac,2.7,0,0,0,0.875,4,0.75,3,0.75,3,1,3,4,0,,7,14.1,0,0,0,1,51.9,jordon-marshall-1,10,6,Guard,0,0,ALABAMA-STATE,0.25,1,1,1,0,0,0.922,26.9,2,3,0.667,2,52.2,,0,0.248,Jordon Marshall
13.4,11,3.7,6,-4.5,patriot,-0.3,19.3,27,0.2,0.458,36,0.444,16,0.139,5,0.8,4,10,0,,166,-4.1,7,9,0.1,23,11.3,matt-rogers-1,37,43,Forward,1.4,4,AMERICAN,0.25,9,0.111,1,13.5,36,0.482,20.7,10,27,0.556,15,15.6,,0.3,0.064,Matt Rogers
13.4,11,3.7,6,-4.5,patriot,-0.3,19.3,27,0.2,0.458,36,0.444,16,0.139,5,0.8,4,10,0,,166,-4.1,7,9,0.1,23,11.3,matt-rogers-1,37,43,Forward,1.4,4,AMERICAN,0.25,9,0.111,1,13.5,36,0.482,20.7,10,27,0.556,15,15.6,,0.3,0.064,Matt Rogers
6.5,19,1.2,5,-5.2,patriot,-0.7,10,42,0.6,0.439,82,0.378,31,0.329,27,0.778,21,32,7,,536,-4.6,7.4,31,0.4,75,8.8,greg-jones-9,93,107,Forward,2.6,22,AMERICAN,0.439,36,0.278,10,8.7,73,0.49,14.4,16,46,0.457,21,11.5,,1,0.076,Greg Jones
