assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_rebounds,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,games_played,games_started,height,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_rebounds,offensive_win_shares,personal_fouls,player_efficiency_rating,player_id,points,points_produced,position,steal_percentage,steals,team_abbreviation,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,weight,win_shares,win_shares_per_40_minutes,name
0,0,2.8,1,-9.1,big-12,1.5,4.8,2,0.1,0.367,15,0.333,5,0,0,,0,14,0,,50,-10.5,0,0,-0.1,7,-0.9,kordelius-jefferson-1,11,9,Guard,1.3,1,HOUSTON,0.667,10,0.1,1,2.4,2,0.367,16.7,3,5,0.8,4,19.3,,0,-0.008,Kordelius Jefferson
0,0,2.8,1,-9.1,big-12,1.5,4.8,2,0.1,0.367,15,0.333,5,0,0,,0,14,0,,50,-10.5,0,0,-0.1,7,-0.9,kordelius-jefferson-1,11,9,Guard,1.3,1,HOUSTON,0.667,10,0.1,1,2.4,2,0.367,16.7,3,5,0.8,4,19.3,,0,-0.008,Kordelius Jefferson
25.9,144,0.8,9,7,big-ten,2.8,13.7,133,1.4,0.529,315,0.448,141,0.498,157,0.841,132,31,31,,977,4.3,4.7,41,2.2,82,18,kasparas-jakucionis-1,465,493,Guard,1.6,28,ILLINOIS,0.492,155,0.329,51,9.4,174,0.597,22.2,111,160,0.563,90,24,,3.6,0.149,Kasparas Jakucionis
25.9,144,0.8,9,7,big-ten,2.8,13.7,133,1.4,0.529,315,0.448,141,0.498,157,0.841,132,31,31,,977,4.3,4.7,41,2.2,82,18,kasparas-jakucionis-1,465,493,Guard,1.6,28,ILLINOIS,0.492,155,0.329,51,9.4,174,0.597,22.2,111,160,0.563,90,24,,3.6,0.149,Kasparas Jakucionis
17,77,0.8,8,6.5,big-ten,1.6,11.4,95,1,0.494,340,0.429,146,0.321,109,0.716,78,33,7,,840,5,5.4,41,2.2,38,17.7,will-riley-1,414,405,Forward,0.6,9,ILLINOIS,0.403,137,0.321,44,8.6,136,0.528,8.6,37,203,0.502,102,23.9,,3.2,0.151,Will Riley
17,77,0.8,8,6.5,big-ten,1.6,11.4,95,1,0.494,340,0.429,146,0.321,109,0.716,78,33,7,,840,5,5.4,41,2.2,38,17.7,will-riley-1,414,405,Forward,0.6,9,ILLINOIS,0.403,137,0.321,44,8.6,136,0.528,8.6,37,203,0.502,102,23.9,,3.2,0.151,Will Riley
16.9,56,0,0,5.4,big-ten,3.6,9.5,50,0.9,0.566,129,0.45,58,0.147,19,0.789,15,35,0,,532,1.7,1.1,5,0.8,41,12.9,kylan-boswell-1,161,160,Guard,2.7,26,ILLINOIS,0.597,77,0.39,30,5.7,55,0.583,17.4,29,52,0.538,28,15.2,,1.7,0.124,Kylan Boswell
16.9,56,0,0,5.4,big-ten,3.6,9.5,50,0.9,0.566,129,0.45,58,0.147,19,0.789,15,35,0,,532,1.7,1.1,5,0.8,41,12.9,kylan-boswell-1,161,160,Guard,2.7,26,ILLINOIS,0.597,77,0.39,30,5.7,55,0.583,17.4,29,52,0.538,28,15.2,,1.7,0.124,Kylan Boswell
16,68,3.7,33,10.2,big-ten,4.3,22.4,177,1.5,0.578,287,0.498,143,0.206,59,0.746,44,30,29,,796,5.9,7.4,53,2.2,69,21.6,tomislav-ivisic-1,376,364,Center,1.2,17,ILLINOIS,0.463,133,0.346,46,15.3,230,0.597,13.2,48,154,0.63,97,21.4,,3.7,0.185,Tomislav Ivisic
16,68,3.7,33,10.2,big-ten,4.3,22.4,177,1.5,0.578,287,0.498,143,0.206,59,0.746,44,30,29,,796,5.9,7.4,53,2.2,69,21.6,tomislav-ivisic-1,376,364,Center,1.2,17,ILLINOIS,0.463,133,0.346,46,15.3,230,0.597,13.2,48,154,0.63,97,21.4,,3.7,0.185,Tomislav Ivisic
7.5,34,1.1,9,1.6,big-ten,0.8,14.5,122,1.2,0.5,247,0.474,117,0.287,71,0.69,49,33,29,,881,0.8,6.3,45,1.1,71,13.6,tre-white-1,296,287,Guard,1,15,ILLINOIS,0.198,49,0.265,13,10.7,167,0.527,12.5,40,198,0.525,104,18.7,,2.4,0.107,Tre White
7.5,34,1.1,9,1.6,big-ten,0.8,14.5,122,1.2,0.5,247,0.474,117,0.287,71,0.69,49,33,29,,881,0.8,6.3,45,1.1,71,13.6,tre-white-1,296,287,Guard,1,15,ILLINOIS,0.198,49,0.265,13,10.7,167,0.527,12.5,40,198,0.525,104,18.7,,2.4,0.107,Tre White
13.3,45,3.5,21,4.9,big-ten,-0.4,14.6,90,0.9,0.589,254,0.484,123,0.276,70,0.757,53,24,24,,710,5.3,3.8,23,2,28,21.8,ben-humrichous-1,352,322,Forward,1.4,17,ILLINOIS,0.504,128,0.414,53,9.3,113,0.613,9.2,29,126,0.556,70,23.1,,2.8,0.16,Ben Humrichous
13.3,45,3.5,21,4.9,big-ten,-0.4,14.6,90,0.9,0.589,254,0.484,123,0.276,70,0.757,53,24,24,,710,5.3,3.8,23,2,28,21.8,ben-humrichous-1,352,322,Forward,1.4,17,ILLINOIS,0.504,128,0.414,53,9.3,113,0.613,9.2,29,126,0.556,70,23.1,,2.8,0.16,Ben Humrichous
8.5,10,0.9,2,-4.1,big-ten,0.1,9,17,0.2,0.395,76,0.342,26,0.118,9,0.667,6,28,0,,200,-4.2,5,9,0,27,6.4,dra-gibbs-lawhorn-1,66,66,Guard,0.6,2,ILLINOIS,0.474,36,0.222,8,7.1,26,0.411,11.1,10,40,0.45,18,21.8,,0.2,0.037,Dra Gibbs-Lawhorn
8.5,10,0.9,2,-4.1,big-ten,0.1,9,17,0.2,0.395,76,0.342,26,0.118,9,0.667,6,28,0,,200,-4.2,5,9,0,27,6.4,dra-gibbs-lawhorn-1,66,66,Guard,0.6,2,ILLINOIS,0.474,36,0.222,8,7.1,26,0.411,11.1,10,40,0.45,18,21.8,,0.2,0.037,Dra Gibbs-Lawhorn
2.8,8,5.8,33,7.8,big-ten,3.7,22.3,110,1,0.64,114,0.64,73,0.737,84,0.619,52,28,8,,499,4,17.4,78,1.5,71,23.1,morez-johnson-jr-1,198,204,Forward,1.2,11,ILLINOIS,0,0,,0,19.9,188,0.643,13,23,114,0.64,73,16.6,,2.5,0.203,Morez Johnson Jr.
2.8,8,5.8,33,7.8,big-ten,3.7,22.3,110,1,0.64,114,0.64,73,0.737,84,0.619,52,28,8,,499,4,17.4,78,1.5,71,23.1,morez-johnson-jr-1,198,204,Forward,1.2,11,ILLINOIS,0,0,,0,19.9,188,0.643,13,23,114,0.64,73,16.6,,2.5,0.203,Morez Johnson Jr.
6.8,36,1.7,14,-0.7,big-ten,-0.3,15,119,0.9,0.547,236,0.419,99,0.195,46,0.848,39,33,25,,943,-0.3,3.3,28,1.2,88,12.4,jake-davis-2,297,271,Forward,1.5,24,ILLINOIS,0.657,155,0.387,60,9,147,0.576,14.6,44,81,0.481,39,16.3,,2.2,0.091,Jake Davis
6.8,36,1.7,14,-0.7,big-ten,-0.3,15,119,0.9,0.547,236,0.419,99,0.195,46,0.848,39,33,25,,943,-0.3,3.3,28,1.2,88,12.4,jake-davis-2,297,271,Forward,1.5,24,ILLINOIS,0.657,155,0.387,60,9,147,0.576,14.6,44,81,0.481,39,16.3,,2.2,0.091,Jake Davis
5.2,15,3.5,21,2,big-ten,1.6,20.8,120,1,0.482,192,0.391,75,0.214,41,0.634,26,33,19,,656,0.4,3.9,22,0.4,42,12.9,carey-booth-2,211,192,Forward,0.7,7,ILLINOIS,0.615,118,0.297,35,12.5,142,0.499,10.6,25,74,0.541,40,19.4,,1.5,0.09,Carey Booth
5.2,15,3.5,21,2,big-ten,1.6,20.8,120,1,0.482,192,0.391,75,0.214,41,0.634,26,33,19,,656,0.4,3.9,22,0.4,42,12.9,carey-booth-2,211,192,Forward,0.7,7,ILLINOIS,0.615,118,0.297,35,12.5,142,0.499,10.6,25,74,0.541,40,19.4,,1.5,0.09,Carey Booth
1.6,1,0,0,-6.9,big-ten,-2.3,10,9,0.1,0.464,28,0.357,10,0.107,3,0.667,2,11,0,,112,-4.7,2.2,2,0,8,5.8,keaton-kutcher-1,28,25,Guard,0.5,1,ILLINOIS,0.571,16,0.375,6,6.1,11,0.476,12,4,12,0.333,4,15.7,,0.1,0.028,Keaton Kutcher
1.6,1,0,0,-6.9,big-ten,-2.3,10,9,0.1,0.464,28,0.357,10,0.107,3,0.667,2,11,0,,112,-4.7,2.2,2,0,8,5.8,keaton-kutcher-1,28,25,Guard,0.5,1,ILLINOIS,0.571,16,0.375,6,6.1,11,0.476,12,4,12,0.333,4,15.7,,0.1,0.028,Keaton Kutcher
0,0,0,0,-27.9,big-ten,-9.1,0,0,0,0,1,0,0,0,0,,0,2,0,,2,-18.9,0,0,0,0,-22.3,aj-redd-1,0,0,Guard,0,0,ILLINOIS,0,0,,0,0,0,0,0,0,1,0,0,24.8,,0,-0.304,AJ Redd
0,0,0,0,-27.9,big-ten,-9.1,0,0,0,0,1,0,0,0,0,,0,2,0,,2,-18.9,0,0,0,0,-22.3,aj-redd-1,0,0,Guard,0,0,ILLINOIS,0,0,,0,0,0,0,0,0,1,0,0,24.8,,0,-0.304,AJ Redd
9.8,32,1.2,7,2.9,big-ten,3.1,15.3,79,1.1,0.516,93,0.516,48,0.333,31,0.387,12,33,0,,574,-0.2,10.8,54,0.5,58,12.3,ty-rodgers-1,108,136,Guard,2.2,22,ILLINOIS,0.011,1,0,0,13.1,133,0.501,20,27,92,0.522,48,11.7,,1.6,0.113,Ty Rodgers
9.8,32,1.2,7,2.9,big-ten,3.1,15.3,79,1.1,0.516,93,0.516,48,0.333,31,0.387,12,33,0,,574,-0.2,10.8,54,0.5,58,12.3,ty-rodgers-1,108,136,Guard,2.2,22,ILLINOIS,0.011,1,0,0,13.1,133,0.501,20,27,92,0.522,48,11.7,,1.6,0.113,Ty Rodgers
15.4,35,1.4,5,-1.2,big-12,0.7,13,43,0.5,0.457,70,0.343,24,0.171,12,0.583,7,28,0,,338,-2,2.5,8,0.3,25,10.3,curtis-jones-2,71,82,Guard,2.3,14,IOWA-STATE,0.629,44,0.364,16,7.8,51,0.469,19.2,18,26,0.308,8,12.8,,0.7,0.087,Curtis Jones
