,abbreviation,assist_percentage,assists,away_losses,away_wins,block_percentage,blocks,conference,conference_losses,conference_wins,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,free_throws_per_field_goal_attempt,games_played,home_losses,home_wins,losses,minutes_played,name,net_rating,offensive_rating,offensive_rebound_percentage,offensive_rebounds,opp_assist_percentage,opp_assists,opp_block_percentage,opp_blocks,opp_defensive_rebounds,opp_effective_field_goal_percentage,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempt_rate,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_free_throws_per_field_goal_attempt,opp_offensive_rating,opp_offensive_rebound_percentage,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steal_percentage,opp_steals,opp_three_point_attempt_rate,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,opp_total_rebound_percentage,opp_total_rebounds,opp_true_shooting_percentage,opp_turnover_percentage,opp_turnovers,pace,personal_fouls,points,simple_rating_system,steal_percentage,steals,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,win_percentage,wins
SAINT-MARYS-CA,SAINT-MARYS-CA,57.2,511,1,9,10.3,130,wcc,1,17,849,0.51,1963,0.455,894,0.312,612,0.694,425,0.217,,1,16,5,1330,Saint Mary's (CA),,114.6,40.4,464,54.3,405,7.1,93,684,0.456,1828,0.408,746,0.246,450,0.742,334,0.183,,24.5,276,551,2002,8.1,171,0.312,571,0.308,176,1257,0.453,570,42.2,960,0.49,14.8,355,63.7,496,2426,17.78,9.7,206,5.78,0.336,659,0.323,213,1304,0.522,681,57.8,1313,0.538,12.5,323,0.848,28
SAN-DIEGO-STATE,SAN-DIEGO-STATE,51.2,404,4,6,18.6,169,mwc,6,14,776,0.509,1784,0.442,789,0.317,565,0.664,375,0.21,,3,12,10,1250,San Diego State,,105.8,29.6,314,50.8,332,8.3,89,748,0.456,1709,0.383,654,0.369,630,0.706,445,0.26,,31.1,351,548,2004,8.8,182,0.469,801,0.311,249,908,0.446,405,50.2,1099,0.499,17.0,412,66.4,571,2194,12.86,11.4,237,8.23,0.402,717,0.333,239,1067,0.515,550,49.8,1090,0.535,14.2,340,0.677,21
SOUTHERN-ILLINOIS-EDWARDSVILLE,SOUTHERN-ILLINOIS-EDWARDSVILLE,52.5,451,8,7,11.4,131,ovc,7,13,874,0.496,1981,0.434,859,0.322,638,0.676,431,0.218,,3,12,11,1330,SIU Edwardsville,,106.1,32.3,396,49.4,375,7.2,91,831,0.466,1888,0.402,759,0.317,599,0.708,424,0.225,,27.9,339,555,2182,9.3,209,0.389,734,0.327,240,1154,0.45,519,48.0,1170,0.502,16.1,418,67.9,544,2396,-5.81,9.8,222,-8.45,0.365,724,0.341,247,1257,0.487,612,52.0,1270,0.525,14.1,375,0.667,22
ST-JOHNS-NY,ST-JOHNS-NY,53.7,539,2,8,15.1,177,big-east,2,18,897,0.497,2227,0.451,1004,0.302,672,0.689,463,0.208,,0,18,4,1380,St. John's (NY),,110.2,37.3,492,55.9,442,8.3,129,826,0.466,1974,0.401,791,0.304,600,0.67,402,0.204,,28.9,364,587,2240,9.3,226,0.408,805,0.318,256,1169,0.458,535,46.1,1190,0.496,19.0,531,70.4,564,2676,21.72,12.8,312,8.9,0.303,675,0.304,205,1552,0.515,799,53.9,1389,0.525,12.9,378,0.882,30
TENNESSEE,TENNESSEE,60.2,527,5,6,16.1,171,sec,6,12,856,0.528,1926,0.455,876,0.354,682,0.743,507,0.263,,1,16,7,1360,Tennessee,,114.2,35.4,390,46.5,344,9.1,100,711,0.444,1936,0.382,739,0.294,570,0.74,422,0.218,,30.1,368,602,2143,8.9,197,0.451,874,0.278,243,1062,0.467,496,46.4,1079,0.486,15.2,397,65.5,528,2541,24.88,10.6,236,13.17,0.43,829,0.34,282,1097,0.541,594,53.6,1246,0.565,13.7,356,0.794,27
TEXAS,TEXAS,47.5,441,6,4,11.7,148,sec,12,6,868,0.525,2012,0.462,929,0.366,736,0.749,551,0.274,,7,11,15,1380,Texas,,113.0,29.8,347,48.3,404,8.2,106,818,0.484,1976,0.424,837,0.393,776,0.701,544,0.275,,29.7,367,639,2456,8.3,196,0.362,715,0.333,238,1261,0.475,599,49.4,1185,0.524,14.3,391,68.4,641,2667,16.2,9.1,214,9.99,0.354,712,0.36,256,1300,0.518,673,50.6,1215,0.565,12.5,338,0.559,19
TEXAS-AM,TEXAS-AM,47.7,381,5,5,13.9,130,sec,7,11,801,0.475,1919,0.416,799,0.417,800,0.695,556,0.29,,3,13,10,1290,Texas A&M,,109.3,42.0,518,64.8,460,14.8,177,714,0.482,1761,0.403,710,0.353,622,0.768,478,0.271,,27.8,309,636,2174,11.7,255,0.47,827,0.334,276,934,0.465,434,43.7,1023,0.529,17.3,429,67.5,554,2378,20.06,11.1,241,13.68,0.376,721,0.311,224,1198,0.48,575,56.3,1319,0.517,14.7,395,0.688,22
TEXAS-TECH,TEXAS-TECH,58.5,549,2,8,8.1,100,big-12,5,15,828,0.555,1998,0.47,939,0.297,594,0.764,454,0.227,,3,15,8,1340,Texas Tech,,120.0,34.3,383,45.0,358,8.0,89,735,0.48,1869,0.426,796,0.335,627,0.695,436,0.233,,28.5,330,530,2230,9.1,203,0.341,637,0.317,202,1232,0.482,594,46.8,1065,0.515,15.2,387,66.4,519,2670,23.91,9.7,215,10.57,0.446,892,0.379,338,1106,0.543,601,53.2,1211,0.585,12.6,329,0.758,25
TROY,TROY,55.4,459,6,9,13.2,156,sun-belt,5,13,813,0.505,1891,0.438,829,0.387,732,0.72,527,0.279,,4,11,10,1320,Troy,,109.5,39.5,460,50.3,384,9.8,102,704,0.464,1891,0.403,763,0.3,567,0.714,405,0.214,,32.1,385,582,2159,11.4,253,0.374,708,0.322,228,1183,0.452,535,46.1,1089,0.5,17.3,452,67.5,550,2438,3.79,14.0,311,-2.66,0.447,846,0.299,253,1045,0.551,576,53.9,1273,0.545,16.6,447,0.697,23
CALIFORNIA-SAN-DIEGO,CALIFORNIA-SAN-DIEGO,58.3,542,2,12,7.3,74,big-west,2,18,844,0.558,1996,0.466,930,0.325,649,0.746,484,0.242,,2,13,4,1360,UC San Diego,,118.3,26.8,309,52.7,379,9.7,96,846,0.469,1816,0.396,719,0.289,524,0.75,393,0.216,,27.2,315,546,2095,6.8,156,0.442,802,0.329,264,1014,0.449,455,50.2,1161,0.507,20.8,543,67.4,556,2712,12.76,14.7,338,-2.34,0.504,1005,0.366,368,991,0.567,562,49.8,1153,0.588,11.4,297,0.882,30
UCLA,UCLA,60.5,523,5,5,10.5,96,big-ten,7,13,698,0.53,1853,0.466,864,0.329,610,0.703,429,0.232,,2,15,10,1280,UCLA,,112.3,32.8,347,57.8,413,7.0,83,710,0.505,1656,0.431,714,0.346,573,0.749,429,0.259,,29.2,288,566,2103,8.5,181,0.448,742,0.332,246,914,0.512,468,48.8,998,0.545,20.1,485,66.6,556,2392,19.22,12.2,259,10.19,0.36,668,0.352,235,1185,0.531,629,51.2,1045,0.558,13.7,339,0.688,22
NORTH-CAROLINA-WILMINGTON,NORTH-CAROLINA-WILMINGTON,54.8,518,4,9,10.4,119,coastal,4,14,891,0.533,2004,0.472,945,0.374,750,0.748,561,0.28,,3,15,7,1375,UNC Wilmington,,116.8,36.7,425,47.5,403,9.2,117,732,0.5,1976,0.429,848,0.298,588,0.684,402,0.203,,27.4,337,628,2377,9.0,207,0.422,833,0.335,279,1143,0.498,569,44.8,1069,0.527,15.0,397,67.2,565,2699,2.33,9.6,222,-4.48,0.365,732,0.339,248,1272,0.548,697,55.2,1316,0.572,13.6,372,0.794,27
UTAH-STATE,UTAH-STATE,61.4,574,4,7,9.1,92,mwc,5,15,763,0.567,1910,0.49,935,0.375,716,0.703,503,0.263,,2,15,7,1320,Utah State,,119.8,34.9,379,59.0,467,9.4,103,707,0.514,1802,0.44,792,0.354,638,0.718,458,0.254,,30.5,335,603,2309,9.7,216,0.437,788,0.339,267,1014,0.518,525,47.7,1042,0.548,17.9,460,67.5,606,2669,14.25,12.8,285,5.0,0.425,811,0.365,296,1099,0.581,639,52.3,1142,0.593,13.6,353,0.788,26
VANDERBILT,VANDERBILT,50.1,447,7,3,11.4,127,sec,10,8,743,0.517,1979,0.451,893,0.34,673,0.747,503,0.254,,3,14,12,1285,Vanderbilt,,113.0,32.2,374,47.3,389,11.4,135,789,0.529,1786,0.46,822,0.39,697,0.72,502,0.281,,29.7,314,562,2393,8.2,184,0.375,669,0.369,247,1117,0.515,575,49.7,1103,0.565,17.5,450,70.2,575,2548,15.04,12.8,289,10.19,0.402,796,0.325,259,1183,0.536,634,50.3,1117,0.554,12.6,332,0.625,20
VIRGINIA-COMMONWEALTH,VIRGINIA-COMMONWEALTH,56.4,509,3,7,15.6,188,atlantic-10,3,15,855,0.525,2025,0.446,903,0.328,664,0.744,494,0.244,,1,15,6,1365,Virginia Commonwealth,,115.2,37.1,451,46.8,337,7.4,79,765,0.441,1857,0.388,720,0.363,675,0.717,484,0.261,,30.1,368,582,2121,9.8,223,0.349,649,0.304,197,1208,0.433,523,46.5,1133,0.487,17.7,469,66.7,609,2622,14.96,12.1,276,1.14,0.476,964,0.334,322,1061,0.548,581,53.5,1306,0.56,14.1,383,0.824,28
WISCONSIN,WISCONSIN,54.9,512,5,6,6.1,79,big-ten,7,13,950,0.536,2065,0.452,933,0.338,697,0.828,577,0.279,,3,14,9,1405,Wisconsin,,115.7,28.0,328,49.3,434,10.8,116,845,0.479,2124,0.414,880,0.281,596,0.723,431,0.203,,26.6,344,646,2465,6.8,165,0.391,830,0.33,274,1294,0.468,606,48.2,1189,0.512,12.7,350,68.6,583,2790,20.94,7.5,181,11.65,0.481,994,0.349,347,1071,0.547,586,51.8,1278,0.582,12.4,340,0.743,26
WOFFORD,WOFFORD,56.0,511,8,8,8.7,87,southern,8,10,864,0.535,2013,0.453,912,0.307,617,0.661,408,0.203,,6,7,15,1370,Wofford,,114.4,37.0,442,48.8,397,9.4,98,753,0.513,1871,0.435,813,0.351,657,0.691,454,0.243,,25.3,293,550,2374,9.4,211,0.464,869,0.338,294,1002,0.518,519,44.5,1046,0.544,13.8,350,65.3,572,2561,-0.26,9.2,206,-3.01,0.48,966,0.341,329,1047,0.557,583,55.5,1306,0.555,13.9,372,0.559,19
XAVIER,XAVIER,63.9,542,7,5,7.2,84,big-east,7,13,823,0.539,1818,0.466,848,0.372,676,0.794,537,0.295,,2,15,11,1290,Xavier,,111.5,25.2,255,56.0,464,11.3,129,757,0.506,1868,0.443,828,0.281,525,0.718,377,0.202,,25.2,277,577,2268,8.4,189,0.372,694,0.339,235,1174,0.505,593,49.0,1034,0.536,15.7,394,69.4,498,2497,15.54,11.0,246,8.39,0.374,680,0.388,264,1138,0.513,584,51.0,1078,0.584,14.4,359,0.656,21
YALE,YALE,54.5,474,6,7,12.0,107,ivy,1,13,799,0.553,1772,0.49,869,0.315,559,0.732,409,0.231,,0,11,7,1160,Yale,,118.5,33.5,323,58.5,405,7.6,91,641,0.484,1706,0.406,692,0.285,487,0.758,369,0.216,,25.5,273,501,2022,8.5,169,0.478,815,0.33,269,891,0.475,423,44.9,914,0.522,14.5,328,68.9,468,2368,6.77,8.4,167,-3.66,0.322,570,0.388,221,1202,0.539,648,55.1,1122,0.581,12.4,289,0.759,22
