,abbreviation,assist_percentage,assists,away_losses,away_wins,block_percentage,blocks,conference,conference_losses,conference_wins,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,free_throws_per_field_goal_attempt,games_played,home_losses,home_wins,losses,minutes_played,name,net_rating,offensive_rating,offensive_rebound_percentage,offensive_rebounds,opp_assist_percentage,opp_assists,opp_block_percentage,opp_blocks,opp_defensive_rebounds,opp_effective_field_goal_percentage,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempt_rate,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_free_throws_per_field_goal_attempt,opp_offensive_rating,opp_offensive_rebound_percentage,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steal_percentage,opp_steals,opp_three_point_attempt_rate,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,opp_total_rebound_percentage,opp_total_rebounds,opp_true_shooting_percentage,opp_turnover_percentage,opp_turnovers,pace,personal_fouls,points,simple_rating_system,steal_percentage,steals,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,win_percentage,wins
LIPSCOMB,LIPSCOMB,54.7,514,6,10,8.0,104,atlantic-sun,4,14,936,0.558,1984,0.473,939,0.306,608,0.794,483,0.243,,3,15,9,1365,Lipscomb,,116.2,25.7,282,38.7,339,9.8,103,814,0.48,2074,0.422,876,0.214,444,0.669,297,0.143,,26.5,338,537,2289,8.9,206,0.376,779,0.308,240,1295,0.491,636,48.6,1152,0.501,14.2,379,68.0,427,2697,5.07,10.2,236,-4.87,0.472,936,0.359,336,1048,0.575,603,51.4,1218,0.593,12.5,324,0.735,25
LOUISVILLE,LOUISVILLE,51.9,476,2,9,8.1,97,acc,2,18,893,0.534,2018,0.454,917,0.345,696,0.744,518,0.257,,3,14,7,1365,Louisville,,113.5,32.2,380,46.6,395,9.7,102,799,0.492,1994,0.425,847,0.268,535,0.714,382,0.192,,27.2,334,632,2343,9.3,220,0.397,792,0.337,267,1202,0.483,580,47.1,1133,0.521,16.3,438,69.0,527,2672,19.33,9.3,218,9.65,0.481,970,0.33,320,1048,0.57,597,52.9,1273,0.569,14.2,389,0.794,27
MARQUETTE,MARQUETTE,49.5,455,6,7,10.9,122,big-east,7,13,767,0.52,2064,0.445,919,0.261,538,0.723,389,0.188,,3,14,10,1330,Marquette,,112.0,30.1,362,60.1,486,8.7,96,840,0.499,1858,0.435,809,0.302,562,0.728,409,0.22,,31.0,345,488,2262,8.1,184,0.398,740,0.318,235,1118,0.513,574,51.2,1185,0.532,18.6,487,68.1,527,2537,18.86,13.2,298,10.52,0.463,955,0.325,310,1109,0.549,609,48.8,1129,0.547,11.7,306,0.697,23
MARYLAND,MARYLAND,50.4,484,5,5,12.0,150,big-ten,6,14,860,0.538,2035,0.472,960,0.329,670,0.755,506,0.249,,2,17,8,1326,Maryland,,115.1,31.0,352,49.4,401,6.4,84,785,0.47,1953,0.415,811,0.259,506,0.739,374,0.192,,27.2,322,590,2211,7.0,164,0.358,700,0.307,215,1253,0.476,596,47.7,1107,0.504,17.7,473,70.7,512,2695,23.52,11.1,260,8.85,0.355,723,0.372,269,1312,0.527,691,52.3,1212,0.573,12.6,339,0.758,25
MCNEESE-STATE,MCNEESE-STATE,51.0,465,2,10,11.4,112,southland,1,19,810,0.546,1901,0.479,911,0.352,669,0.71,475,0.25,,1,13,6,1320,McNeese State,,116.4,35.1,385,55.1,401,8.3,99,713,0.476,1810,0.402,728,0.303,548,0.714,391,0.216,,30.8,360,526,2113,9.5,209,0.459,830,0.32,266,980,0.471,462,47.3,1073,0.51,18.8,480,66.4,531,2549,8.94,13.6,297,-2.29,0.369,702,0.359,252,1199,0.55,659,52.7,1195,0.574,13.9,357,0.818,27
MEMPHIS,MEMPHIS,52.0,497,2,11,13.1,160,aac,2,16,861,0.536,2019,0.474,956,0.394,796,0.702,559,0.277,,2,13,5,1375,Memphis,,111.2,35.1,411,54.1,467,9.4,127,761,0.485,2061,0.419,864,0.336,692,0.711,492,0.239,,32.3,410,637,2490,10.6,260,0.407,838,0.322,270,1223,0.486,594,47.9,1171,0.521,16.3,467,71.3,604,2725,12.62,10.8,264,5.71,0.331,669,0.38,254,1350,0.52,702,52.1,1272,0.568,16.4,470,0.853,29
MICHIGAN,MICHIGAN,58.5,549,3,7,9.3,122,big-ten,6,14,929,0.545,1979,0.474,938,0.35,692,0.728,504,0.255,,3,13,9,1370,Michigan,,110.1,33.2,369,44.9,386,7.5,85,744,0.463,2136,0.402,859,0.285,608,0.73,444,0.208,,29.8,394,622,2422,10.2,247,0.389,830,0.313,260,1306,0.459,599,46.7,1138,0.499,13.7,386,70.6,582,2661,20.17,7.7,186,13.14,0.425,841,0.334,281,1138,0.577,657,53.3,1298,0.577,17.2,479,0.735,25
MICHIGAN-STATE,MICHIGAN-STATE,61.6,556,2,8,13.3,149,big-ten,3,17,924,0.512,1956,0.461,902,0.378,740,0.781,578,0.296,,1,15,6,1325,Michigan State,,112.5,35.3,390,53.4,412,7.8,103,714,0.461,1912,0.403,771,0.331,632,0.722,456,0.238,,24.6,301,645,2219,8.6,198,0.414,791,0.279,221,1121,0.491,550,43.6,1015,0.502,14.6,377,69.2,561,2579,22.49,7.9,181,11.58,0.327,640,0.308,197,1316,0.536,705,56.4,1314,0.559,14.2,381,0.818,27
MISSISSIPPI,MISSISSIPPI,53.5,469,6,5,12.4,127,sec,8,10,787,0.511,1983,0.442,877,0.356,706,0.738,521,0.263,,3,13,11,1330,Mississippi,,110.5,25.4,304,58.3,463,11.2,133,895,0.505,1835,0.433,794,0.395,725,0.705,511,0.278,,30.8,350,591,2367,8.3,192,0.44,807,0.327,264,1028,0.516,530,53.3,1245,0.543,17.8,473,69.3,599,2547,17.95,12.6,290,12.49,0.402,797,0.341,272,1186,0.51,605,46.7,1091,0.549,11.3,294,0.667,22
MISSISSIPPI-STATE,MISSISSIPPI-STATE,53.3,504,5,6,14.3,152,sec,10,8,831,0.517,2095,0.451,945,0.316,663,0.7,464,0.221,,5,10,12,1335,Mississippi State,,113.1,34.1,428,53.2,445,8.6,104,828,0.519,1906,0.439,837,0.354,675,0.695,469,0.246,,29.5,348,572,2447,8.7,202,0.442,842,0.361,304,1064,0.501,533,48.3,1176,0.549,16.6,442,69.7,573,2632,17.55,13.1,304,11.95,0.423,886,0.314,278,1209,0.552,667,51.7,1259,0.546,12.7,351,0.636,21
MISSOURI,MISSOURI,49.5,457,7,3,7.5,88,sec,8,10,765,0.562,1904,0.485,924,0.468,892,0.725,647,0.34,,2,18,11,1325,Missouri,,120.3,33.7,366,48.3,407,10.5,117,719,0.507,1900,0.443,842,0.353,671,0.762,511,0.269,,32.2,364,670,2437,9.3,215,0.382,725,0.334,242,1175,0.511,600,48.9,1083,0.549,17.3,464,69.9,600,2787,20.43,13.4,310,9.82,0.415,790,0.37,292,1114,0.567,632,51.1,1131,0.599,13.2,353,0.667,22
MONTANA,MONTANA,49.1,461,8,7,8.5,111,big-sky,3,15,835,0.568,1871,0.502,939,0.354,662,0.736,487,0.26,,1,15,9,1365,Montana,,112.7,23.8,244,46.5,421,8.0,94,782,0.511,1991,0.455,905,0.302,602,0.738,444,0.223,,27.8,322,598,2480,8.0,186,0.347,690,0.328,226,1301,0.522,679,50.6,1104,0.545,14.0,370,68.0,547,2614,-1.22,9.2,213,-2.0,0.37,692,0.36,249,1179,0.585,690,49.4,1079,0.598,14.5,372,0.735,25
