game_time,team_unique,lost,player_unique,points,inactive,game_id
12:10:00,colorado,l,kj-simpson-1,20,,243
12:10:00,colorado,,tristan-dasilva-1,17,,243
12:10:00,colorado,,jvonne-hadley-1,7,,243
12:10:00,colorado,,eddie-lampkinjr-1,13,,243
12:10:00,colorado,,cody-williams-2,12,,243
12:10:00,colorado,,luke-obrien-1,8,,243
12:10:00,colorado,,julian-hammondiii-1,0,,243
12:10:00,colorado,,assane-diop-2,0,,243
12:10:00,colorado,,javon-ruffin-1,0,,243
12:10:00,colorado,,bangot-dak-1,0,,243
12:10:00,colorado,,rj-smith-2,0,,243
12:10:00,colorado,,harrison-carrington-1,0,,243
12:10:00,colorado,,greg-gerhardt-1,0,,243
12:10:00,colorado,,joe-hurlburt-1,0,,243
12:10:00,colorado,,jack-pease-1,0,,243
12:10:00,marquette,,kam-jones-1,18,,243
12:10:00,marquette,,oso-ighodaro-1,10,,243
12:10:00,marquette,,tyler-kolek-1,21,,243
12:10:00,marquette,,david-joplin-1,14,,243
12:10:00,marquette,,stevie-mitchell-1,3,,243
12:10:00,marquette,,chase-ross-1,12,,243
12:10:00,marquette,,ben-gold-1,3,,243
12:10:00,marquette,,sean-jones-3,0,,243
12:10:00,marquette,,tre-norman-1,0,,243
12:10:00,marquette,,zaide-lowery-1,0,,243
12:10:00,marquette,,al-amadou-1,0,,243
12:10:00,marquette,,jonah-lucas-1,0,,243
12:10:00,marquette,,cameron-brown-2,0,,243
12:10:00,marquette,,casey-omalley-1,0,,243
12:10:00,marquette,,jack-riley-1,0,,243
14:40:00,purdue,,zach-edey-1,23,,244
14:40:00,purdue,,braden-smith-1,5,,244
14:40:00,purdue,,lance-jones-1,9,,244
14:40:00,purdue,,fletcher-loyer-1,15,,244
14:40:00,purdue,,mason-gillis-1,6,,244
14:40:00,purdue,,trey-kaufman-renn-1,18,,244
14:40:00,purdue,,camden-heide-1,10,,244
14:40:00,purdue,,myles-colvin-2,9,,244
14:40:00,purdue,,caleb-furst-1,0,,244
14:40:00,purdue,,will-berg-1,4,,244
14:40:00,purdue,,ethan-morton-1,0,,244
