game_time,team_unique,lost,player_unique,points,inactive,game_id
18:09:00,north-carolina-state,l,dj-horne-1,20,,263
18:09:00,north-carolina-state,,dj-burns-1,8,,263
18:09:00,north-carolina-state,,jayden-taylor-1,11,,263
18:09:00,north-carolina-state,,casey-morsell-1,0,,263
18:09:00,north-carolina-state,,mohamed-diarra-1,2,,263
18:09:00,north-carolina-state,,michael-oconnell-3,3,,263
18:09:00,north-carolina-state,,ben-middlebrooks-1,2,,263
18:09:00,north-carolina-state,,dennis-parker-jr-1,0,,263
18:09:00,north-carolina-state,,mj-rice-1,0,,263
18:09:00,north-carolina-state,,breon-pass-1,4,,263
18:09:00,north-carolina-state,,lj-thomas-1,0,,263
18:09:00,north-carolina-state,,kam-woods-1,0,,263
18:09:00,north-carolina-state,,ernest-ross-1,0,,263
18:09:00,north-carolina-state,,kj-keatts-1,0,,263
18:09:00,north-carolina-state,,alex-nunnally-1,0,,263
18:09:00,north-carolina-state,,jordan-snell-1,0,,263
18:09:00,purdue,,zach-edey-1,20,,263
18:09:00,purdue,,braden-smith-1,3,,263
18:09:00,purdue,,lance-jones-1,14,,263
18:09:00,purdue,,fletcher-loyer-1,11,,263
18:09:00,purdue,,mason-gillis-1,8,,263
18:09:00,purdue,,trey-kaufman-renn-1,7,,263
18:09:00,purdue,,camden-heide-1,0,,263
18:09:00,purdue,,myles-colvin-2,0,,263
18:09:00,purdue,,caleb-furst-1,0,,263
18:09:00,purdue,,will-berg-1,0,,263
18:09:00,purdue,,ethan-morton-1,0,,263
18:09:00,purdue,,brian-waddell-1,0,,263
18:09:00,purdue,,sam-king-2,0,,263
18:09:00,purdue,,carson-barrett-1,0,,263
18:09:00,purdue,,chase-martin-1,0,,263
18:09:00,purdue,,josh-furst-1,0,,263
18:09:00,purdue,,jace-rayl-1,0,,263
20:49:00,alabama,l,mark-sears-1,24,,264
20:49:00,alabama,,aaron-estrada-1,13,,264
20:49:00,alabama,,grant-nelson-1,19,,264
20:49:00,alabama,,rylan-griffen-1,8,,264
20:49:00,alabama,,latrell-wrightselljr-1,6,,264
20:49:00,alabama,,nick-pringle-1,2,,264
20:49:00,alabama,,sam-walters-3,0,,264
20:49:00,alabama,,jarin-stevenson-1,0,,264
20:49:00,alabama,,mohamed-wague-1,0,,264
20:49:00,alabama,,mouhamed-dioubate-1,0,,264
20:49:00,alabama,,davin-cosby-jr-1,0,,264
20:49:00,alabama,,kai-spears-1,0,,264
20:49:00,alabama,,max-scharnowski-1,0,,264
20:49:00,connecticut,,tristen-newton-1,12,,264
20:49:00,connecticut,,cam-spencer-1,14,,264
20:49:00,connecticut,,alex-karaban-1,14,,264
20:49:00,connecticut,,donovan-clingan-1,18,,264
20:49:00,connecticut,,stephon-castle-2,21,,264
20:49:00,connecticut,,hassan-diarra-1,0,,264
20:49:00,connecticut,,samson-johnson-1,7,,264
20:49:00,connecticut,,solomon-ball-2,0,,264
20:49:00,connecticut,,jaylin-stewart-3,0,,264
20:49:00,connecticut,,apostolos-roumoglou-1,0,,264
20:49:00,connecticut,,jayden-ross-2,0,,264
20:49:00,connecticut,,andrew-hurley-1,0,,264
20:49:00,connecticut,,youssouf-singare-1,0,,264
20:49:00,connecticut,,andre-johnson-jr-1,0,,264
