round_num,round_name,round_start,round_end
1,First Four,2026-03-17T18:00:00-0500,2026-03-18T23:59:59-0500
2,Round of 64,2026-03-19T12:00:00-0500,2026-03-20T23:59:59-0500
3,Round of 32,2026-03-21T12:00:00-0500,2026-03-22T23:59:59-0500
4,Sweet 16,2026-03-26T18:00:00-0500,2026-03-27T23:59:59-0500
5,Elite Eight,2026-03-28T18:00:00-0500,2026-03-29T20:00:00-0500
6,Final Four,2026-04-04T18:00:00-0500,2026-04-04T23:00:00-0500
7,Championship Game,2026-04-06T20:30:00-0500,2026-04-06T23:59:59-0500
