,assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_rebounds,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,games_played,games_started,height,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_rebounds,offensive_win_shares,personal_fouls,player_efficiency_rating,player_id,points,points_produced,position,steal_percentage,steals,team_abbreviation,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,weight,win_shares,win_shares_per_40_minutes,name
2025-26,14.8,86.0,0.6,6.0,11.4,big-12,5.7,13.9,141.0,2.4,0.566,374.0,0.492,184.0,0.396,148.0,0.804,119.0,34.0,34.0,,1003.0,5.8,2.3,19.0,3.2,71.0,22.0,brayden-burries-1,542.0,489.0,Guard,3.0,54.0,ARIZONA,0.401,150.0,0.367,55.0,8.6,160.0,0.61,9.2,45.0,224.0,0.576,129.0,23.3,,5.6,0.225,Brayden Burries
2025-26,24.1,154.0,0.3,3.0,9.1,big-12,5.3,9.8,103.0,2.2,0.497,323.0,0.461,149.0,0.505,163.0,0.804,131.0,34.0,34.0,,1035.0,3.8,2.1,18.0,2.7,66.0,18.6,jaden-bradley-1,452.0,473.0,Guard,2.8,52.0,ARIZONA,0.176,57.0,0.404,23.0,6.3,121.0,0.564,12.8,59.0,266.0,0.474,126.0,21.2,,4.9,0.19,Jaden Bradley
2025-26,17.9,85.0,2.7,22.0,8.4,big-12,3.9,12.0,103.0,1.8,0.546,313.0,0.537,168.0,0.428,134.0,0.597,80.0,31.0,31.0,,845.0,4.5,8.8,62.0,2.0,69.0,20.1,koa-peat-1,422.0,422.0,Forward,1.5,22.0,ARIZONA,0.061,19.0,0.316,6.0,10.6,165.0,0.56,12.5,54.0,294.0,0.551,162.0,24.3,,3.8,0.18,Koa Peat
2025-26,6.3,33.0,7.5,62.0,10.4,big-12,5.7,20.1,173.0,2.3,0.591,208.0,0.582,121.0,0.673,140.0,0.786,110.0,34.0,34.0,,849.0,4.7,14.2,101.0,2.5,90.0,23.2,motiejus-krivas-1,356.0,365.0,Center,1.6,24.0,ARIZONA,0.058,12.0,0.333,4.0,17.5,274.0,0.648,14.9,48.0,196.0,0.597,117.0,18.1,,4.8,0.228,Motiejus Krivas
2025-26,13.4,79.0,1.2,11.0,9.5,big-12,5.7,10.8,103.0,2.1,0.55,262.0,0.492,129.0,0.29,76.0,0.737,56.0,34.0,34.0,,942.0,3.8,4.4,35.0,1.8,54.0,16.4,ivan-kharchenkov-1,344.0,338.0,Forward,2.9,49.0,ARIZONA,0.351,92.0,0.326,30.0,7.9,138.0,0.577,13.1,45.0,170.0,0.582,99.0,17.4,,3.9,0.166,Ivan Kharchenkov
2025-26,6.4,28.0,3.4,24.0,8.8,big-12,3.3,26.8,198.0,2.0,0.609,193.0,0.596,115.0,0.679,131.0,0.656,86.0,34.0,3.0,,728.0,5.4,20.6,125.0,2.5,95.0,24.4,tobe-awaka-1,321.0,346.0,Forward,1.0,13.0,ARIZONA,0.052,10.0,0.5,5.0,24.0,323.0,0.629,12.4,36.0,183.0,0.601,110.0,19.1,,4.5,0.246,Tobe Awaka
2025-26,14.7,67.0,0.8,6.0,6.9,big-12,4.3,8.9,67.0,1.5,0.5,257.0,0.412,106.0,0.23,59.0,0.814,48.0,34.0,0.0,,740.0,2.6,0.8,5.0,1.1,41.0,13.8,anthony-dellorso-1,305.0,284.0,Guard,2.3,30.0,ARIZONA,0.533,137.0,0.328,45.0,5.3,72.0,0.535,12.6,41.0,120.0,0.508,61.0,21.0,,2.6,0.139,Anthony Dell'Orso
2025-26,8.4,24.0,0.5,2.0,7.7,big-12,4.3,8.0,35.0,0.8,0.633,90.0,0.478,43.0,0.189,17.0,0.588,10.0,30.0,0.0,,431.0,3.4,5.3,19.0,0.8,27.0,13.2,dwayne-aristode-1,124.0,119.0,Guard,2.1,16.0,ARIZONA,0.7,63.0,0.444,28.0,6.8,54.0,0.632,11.7,13.0,27.0,0.556,15.0,12.3,,1.7,0.154,Dwayne Aristode
2025-26,9.7,5.0,7.5,6.0,8.2,big-12,6.8,15.6,13.0,0.2,0.688,16.0,0.688,11.0,0.688,11.0,0.636,7.0,24.0,0.0,,82.0,1.4,5.8,4.0,0.2,11.0,17.8,sidi-gueye-1,29.0,28.0,Forward,1.4,2.0,ARIZONA,0.0,0.0,,0.0,11.2,17.0,0.683,19.1,5.0,16.0,0.688,11.0,15.3,,0.4,0.177,Sidi Gueye
2025-26,12.5,7.0,1.3,1.0,3.6,big-12,4.5,12.3,10.0,0.2,0.583,12.0,0.417,5.0,0.0,0.0,,0.0,22.0,0.0,,80.0,-0.9,1.5,1.0,0.0,3.0,7.2,evan-nelson-1,14.0,15.0,Guard,2.1,3.0,ARIZONA,0.75,9.0,0.444,4.0,7.4,11.0,0.583,36.8,7.0,3.0,0.333,1.0,11.3,,0.1,0.073,Evan Nelson
