,assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_rebounds,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,games_played,games_started,height,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_rebounds,offensive_win_shares,personal_fouls,player_efficiency_rating,player_id,points,points_produced,position,steal_percentage,steals,team_abbreviation,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,weight,win_shares,win_shares_per_40_minutes,name,team
2022-23,0.0,0.0,0.0,0.0,236.8,acc,39.8,0.0,0.0,0.0,1.5,1.0,1.0,1.0,0.0,0.0,,0.0,,,,1.0,197.0,0.0,0.0,0.1,0.0,165.8,jonathan-noel-1,3.0,3.0,Center,0.0,0.0,boston-college,1.0,1.0,1.0,1.0,0.0,0.0,1.5,0.0,0.0,0.0,,0.0,52.8,,0.1,2.214,Jonathan Noel,Wake Forest
2022-23,23.2,1.0,0.0,0.0,13.8,acc,5.2,17.4,1.0,0.0,,0.0,,0.0,,2.0,1.0,2.0,,,,7.0,8.6,0.0,0.0,0.0,0.0,24.4,andrew-kenny-1,2.0,2.0,Forward,0.0,0.0,boston-college,,0.0,,0.0,8.6,1.0,1.053,0.0,0.0,0.0,,0.0,7.2,,0.0,0.266,Andrew Kenny,Wake Forest
2022-23,0.0,0.0,0.0,0.0,-30.4,acc,-5.0,60.7,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,,,2.0,-25.4,0.0,0.0,0.0,0.0,-14.7,abe-atiyeh-1,0.0,0.0,Guard,0.0,0.0,boston-college,0.0,0.0,,0.0,30.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,26.4,,0.0,-0.285,Abe Atiyeh,Wake Forest
2022-23,18.0,1.0,0.0,0.0,-25.9,acc,-5.6,13.5,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,,,,9.0,-20.3,0.0,0.0,-0.1,2.0,-19.9,quinn-pemberton-1,0.0,1.0,Guard,0.0,0.0,boston-college,0.667,2.0,0.0,0.0,6.7,1.0,0.0,25.0,1.0,1.0,0.0,0.0,23.4,,-0.1,-0.304,Quinn Pemberton,Wake Forest
2022-23,8.2,47.0,0.3,3.0,8.4,acc,2.1,26.5,267.0,2.2,0.598,338.0,0.482,163.0,0.322,109.0,0.844,92.0,,,,1110.0,6.2,4.8,41.0,3.7,56.0,22.5,tyson-hunter-1,496.0,454.0,Forward,1.6,30.0,clemson,0.562,190.0,0.411,78.0,16.5,308.0,0.636,7.8,33.0,148.0,0.574,85.0,20.2,,5.9,0.211,Hunter Tyson,Wake Forest
2022-23,10.1,32.0,4.7,30.0,8.1,acc,2.3,18.0,123.0,1.5,0.587,338.0,0.538,182.0,0.299,101.0,0.812,82.0,,,,752.0,5.8,8.1,47.0,2.6,70.0,27.7,pj-hall-1,479.0,428.0,Forward,1.6,21.0,clemson,0.237,80.0,0.413,33.0,13.4,170.0,0.621,12.3,54.0,258.0,0.578,149.0,31.1,,4.0,0.215,PJ Hall,Wake Forest
2022-23,28.2,135.0,1.0,8.0,2.4,acc,0.3,9.7,82.0,1.2,0.482,331.0,0.411,136.0,0.314,104.0,0.817,85.0,,,,928.0,2.1,0.8,6.0,1.8,62.0,16.4,chase-hunter-1,404.0,430.0,Guard,1.0,16.0,clemson,0.387,128.0,0.367,47.0,5.6,88.0,0.531,14.6,65.0,203.0,0.438,89.0,25.5,,3.0,0.13,Chase Hunter,Wake Forest
2022-23,14.7,69.0,0.8,6.0,2.8,acc,1.8,8.3,66.0,1.2,0.553,243.0,0.457,111.0,0.325,79.0,0.873,69.0,,,,875.0,1.1,0.7,5.0,1.7,70.0,15.1,brevin-galloway-1,338.0,322.0,Guard,1.7,26.0,clemson,0.56,136.0,0.346,47.0,4.8,71.0,0.602,15.1,50.0,107.0,0.598,64.0,20.1,,2.9,0.134,Brevin Galloway,Wake Forest
2022-23,16.6,57.0,1.5,8.0,3.6,acc,2.5,16.1,91.0,1.0,0.545,132.0,0.515,68.0,0.333,44.0,0.705,31.0,,,,621.0,1.1,7.9,38.0,1.2,61.0,14.9,ian-schieffelin-1,175.0,206.0,Forward,1.0,11.0,clemson,0.189,25.0,0.32,8.0,12.3,129.0,0.572,18.2,34.0,107.0,0.561,60.0,16.0,,2.2,0.139,Ian Schieffelin,Wake Forest
2022-23,7.7,21.0,0.5,2.0,2.9,acc,1.6,7.3,32.0,0.6,0.679,92.0,0.5,46.0,0.174,16.0,0.75,12.0,,,,480.0,1.3,0.8,3.0,0.9,32.0,12.3,alex-hemenway-1,137.0,119.0,Guard,1.1,9.0,clemson,0.761,70.0,0.471,33.0,4.3,35.0,0.688,11.5,13.0,22.0,0.591,13.0,12.5,,1.5,0.126,Alex Hemenway,Wake Forest
