player_unique,composite,player_name,ranking,autodraft,player_modifier,team_modifier,team_name,team_games_played,diff,sn_projected,kenpom_projected,538_projected,points_per_team_game,points,538_32,538_16,538_8,538_4,538_2,538_1,sn_32,sn_16,sn_8,sn_4,sn_2,sn_1,kenpom_32,kenpom_16,kenpom_8,kenpom_4,kenpom_2,kenpom_1,seed,region,overall_seed,wins,losses,games_played,conference_wins,conference_losses
nolan-hickman-1,#N/A,Nolan Hickman,104,225.875,1,#N/A,Gonzaga,#N/A,#N/A,#N/A,0,0,#N/A,278,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,WEST,10,28,5,33,14,2
filip-rebraca-1,#N/A,Filip Rebraca,105,225,1,#N/A,Iowa,#N/A,#N/A,#N/A,0,0,#N/A,450,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8,MIDWEST,32,19,13,32,11,9
terrence-shannonjr-1,#N/A,Terrence Shannon Jr.,106,224.875,1,#N/A,Illinois,#N/A,#N/A,#N/A,0,0,#N/A,514,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9,WEST,36,20,12,32,11,9
erik-stevenson-1,#N/A,Erik Stevenson,107,224.4375,1,#N/A,West Virginia,#N/A,#N/A,#N/A,0,0,#N/A,513,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9,SOUTH,34,19,14,33,7,11
jahvon-quinerly-1,#N/A,Jahvon Quinerly,108,223.125,1,#N/A,Alabama,#N/A,#N/A,#N/A,0,0,#N/A,238,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,SOUTH,1,28,5,33,16,2
desi-sills-1,#N/A,Desi Sills,109,219.375,1,#N/A,Kansas State,#N/A,#N/A,#N/A,0,0,#N/A,270,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,EAST,11,23,9,32,11,7
jaden-bradley-1,#N/A,Jaden Bradley,110,218.4375,1,#N/A,Alabama,#N/A,#N/A,#N/A,0,0,#N/A,233,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,SOUTH,1,28,5,33,16,2
aj-hoggard-1,#N/A,A.J. Hoggard,111,218.25,1,#N/A,Michigan State,#N/A,#N/A,#N/A,0,0,#N/A,388,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7,EAST,26,19,12,31,11,8
adem-bona-1,#N/A,Adem Bona,112,217.875,0.7,#N/A,UCLA,#N/A,#N/A,#N/A,0,0,#N/A,249,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,WEST,5,29,5,34,18,2
reece-beekman-1,#N/A,Reece Beekman,113,217.5,1,#N/A,Virginia,#N/A,#N/A,#N/A,0,0,#N/A,290,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4,SOUTH,16,25,7,32,15,5
