game_time,team_unique,lost,player_unique,points,inactive,game_id
18:30:00,kansas-state,,keyontae-johnson-1,22,,88
18:30:00,kansas-state,,markquis-nowell-1,20,,88
18:30:00,kansas-state,,naeqwan-tomlin-1,11,,88
18:30:00,kansas-state,,desi-sills-1,7,,88
18:30:00,kansas-state,,cam-carter-1,12,,88
18:30:00,kansas-state,,david-nguessan-1,11,,88
18:30:00,kansas-state,,ismael-massoud-1,15,,88
18:30:00,kansas-state,,abayomi-iyiola-1,0,,88
18:30:00,kansas-state,,tykei-greene-1,0,,88
18:30:00,kansas-state,,dorian-finister-1,0,,88
18:30:00,kansas-state,,nate-awbrey-1,0,,88
18:30:00,michigan-state,l,tyson-walker-1,16,,88
18:30:00,michigan-state,,joey-hauser-1,18,,88
18:30:00,michigan-state,,aj-hoggard-1,25,,88
18:30:00,michigan-state,,jaden-akins-1,14,,88
18:30:00,michigan-state,,malik-hall-1,13,,88
18:30:00,michigan-state,,mady-sissoko-1,5,,88
18:30:00,michigan-state,,pierre-brooks-1,0,,88
18:30:00,michigan-state,,jaxon-kohler-1,2,,88
18:30:00,michigan-state,,tre-holloman-1,0,,88
18:30:00,michigan-state,,carson-cooper-1,0,,88
18:30:00,michigan-state,,jason-whitens-1,0,,88
18:30:00,michigan-state,,davis-smith-1,0,,88
18:30:00,michigan-state,,steven-izzo-1,0,,88
18:30:00,michigan-state,,nick-sanders-2,0,,88
19:15:00,arkansas,l,ricky-counciliv-1,17,,89
19:15:00,arkansas,,anthony-black-1,20,,89
19:15:00,arkansas,,davonte-davis-1,3,,89
19:15:00,arkansas,,jordan-walsh-1,2,,89
19:15:00,arkansas,,makhi-mitchell-1,2,,89
19:15:00,arkansas,,nick-smith-jr-1,11,,89
19:15:00,arkansas,,jalen-graham-1,5,,89
19:15:00,arkansas,,makhel-mitchell-1,0,,89
19:15:00,arkansas,,joseph-pinion-1,0,,89
19:15:00,arkansas,,kamani-johnson-1,0,,89
19:15:00,arkansas,,derrian-ford-1,1,,89
19:15:00,arkansas,,cade-arbogast-1,0,,89
19:15:00,arkansas,,lawson-blake-1,0,,89
19:15:00,arkansas,,barry-dunning-jr-1,4,,89
19:15:00,connecticut,,adama-sanogo-1,18,,89
19:15:00,connecticut,,jordan-hawkins-1,24,,89
19:15:00,connecticut,,tristen-newton-1,6,,89
19:15:00,connecticut,,alex-karaban-1,11,,89
19:15:00,connecticut,,donovan-clingan-1,5,,89
19:15:00,connecticut,,andre-jackson-8,7,,89
19:15:00,connecticut,,joey-calcaterra-1,5,,89
19:15:00,connecticut,,nahiem-alleyne-1,10,,89
