,assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_rebounds,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,games_played,games_started,height,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_rebounds,offensive_win_shares,personal_fouls,player_efficiency_rating,player_id,points,points_produced,position,steal_percentage,steals,team_abbreviation,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,weight,win_shares,win_shares_per_40_minutes,name
2022-23,12.3,66.0,2.4,29.0,12.9,sec,4.4,17.9,208.0,2.6,0.568,455.0,0.459,209.0,0.33,150.0,0.853,128.0,,,,1095.0,8.5,6.1,62.0,4.1,77.0,24.6,brandon-miller-3,645.0,585.0,Forward,1.5,29.0,alabama,0.534,243.0,0.407,99.0,12.4,270.0,0.613,11.4,68.0,212.0,0.519,110.0,25.5,,6.7,0.243,Brandon Miller
2022-23,15.8,87.0,0.3,3.0,7.4,sec,4.2,8.9,95.0,2.0,0.515,308.0,0.409,126.0,0.412,127.0,0.835,106.0,,,,998.0,3.2,2.2,20.0,2.2,52.0,16.2,mark-sears-1,423.0,408.0,Guard,2.2,40.0,alabama,0.597,184.0,0.353,65.0,5.8,115.0,0.574,15.2,66.0,124.0,0.492,61.0,20.4,,4.2,0.168,Mark Sears
2022-23,5.8,26.0,3.8,34.0,8.5,sec,4.5,21.1,185.0,2.1,0.556,232.0,0.491,114.0,0.448,104.0,0.644,67.0,,,,826.0,4.0,8.9,68.0,1.8,75.0,18.9,noah-clowney-1,325.0,311.0,Forward,1.2,18.0,alabama,0.466,108.0,0.278,30.0,15.4,253.0,0.577,13.0,42.0,124.0,0.677,84.0,18.4,,3.9,0.189,Noah Clowney
2022-23,34.4,117.0,0.0,0.0,3.8,sec,2.3,7.8,52.0,1.1,0.459,222.0,0.378,84.0,0.185,41.0,0.829,34.0,,,,625.0,1.5,1.0,6.0,0.7,47.0,12.4,jahvon-quinerly-1,238.0,271.0,Guard,1.8,20.0,alabama,0.486,108.0,0.333,36.0,4.7,58.0,0.493,21.2,65.0,114.0,0.421,48.0,23.0,,1.8,0.117,Jahvon Quinerly
2022-23,26.5,105.0,0.4,3.0,3.0,sec,3.3,10.6,78.0,1.3,0.427,179.0,0.408,73.0,0.648,116.0,0.69,80.0,,,,690.0,-0.4,2.4,15.0,0.8,64.0,12.2,jaden-bradley-1,233.0,270.0,Guard,1.4,18.0,alabama,0.123,22.0,0.318,7.0,6.8,93.0,0.498,20.9,62.0,157.0,0.42,66.0,20.2,,2.1,0.123,Jaden Bradley
2022-23,8.7,25.0,0.7,4.0,6.3,sec,3.9,11.0,61.0,1.1,0.488,173.0,0.382,66.0,0.249,43.0,0.744,32.0,,,,519.0,2.4,5.0,24.0,0.8,31.0,14.1,rylan-griffen-1,201.0,189.0,Guard,2.1,20.0,alabama,0.694,120.0,0.308,37.0,8.2,85.0,0.52,12.2,27.0,53.0,0.547,29.0,19.9,,1.9,0.143,Rylan Griffen
2022-23,5.7,21.0,7.7,56.0,8.5,sec,6.3,14.6,104.0,1.7,0.654,136.0,0.654,89.0,0.368,50.0,0.38,19.0,,,,669.0,2.2,13.0,80.0,1.4,98.0,19.4,charles-bediako-1,197.0,205.0,Center,1.7,21.0,alabama,0.044,6.0,0.0,0.0,13.9,184.0,0.617,14.5,27.0,130.0,0.685,89.0,13.1,,3.1,0.188,Charles Bediako
2022-23,6.7,17.0,2.4,12.0,5.9,sec,4.3,14.3,69.0,1.0,0.555,118.0,0.466,55.0,0.203,24.0,0.75,18.0,,,,455.0,1.6,6.2,26.0,0.6,42.0,13.3,noah-gurley-1,149.0,141.0,Forward,1.2,10.0,alabama,0.568,67.0,0.313,21.0,10.5,95.0,0.576,18.3,29.0,51.0,0.667,34.0,16.3,,1.5,0.136,Noah Gurley
2022-23,9.4,19.0,0.8,3.0,3.0,sec,2.7,7.8,30.0,0.6,0.487,113.0,0.381,43.0,0.319,36.0,0.75,27.0,,,,360.0,0.4,5.4,18.0,0.4,45.0,10.9,nimari-burnett-1,137.0,132.0,Guard,1.2,8.0,alabama,0.673,76.0,0.316,24.0,6.7,48.0,0.527,16.7,26.0,37.0,0.514,19.0,20.4,,1.1,0.119,Nimari Burnett
2022-23,5.4,7.0,5.6,15.0,7.6,sec,5.7,22.4,59.0,0.7,0.848,46.0,0.848,39.0,0.913,42.0,0.476,20.0,,,,248.0,1.9,12.7,29.0,0.7,48.0,23.4,nick-pringle-2,98.0,90.0,Forward,1.8,8.0,alabama,0.0,0.0,,0.0,17.9,88.0,0.743,18.5,15.0,46.0,0.848,39.0,15.3,,1.4,0.228,Nick Pringle
2022-23,4.9,5.0,2.7,5.0,1.0,sec,3.5,13.5,24.0,0.4,0.35,40.0,0.275,11.0,0.3,12.0,0.75,9.0,,,,167.0,-2.5,3.9,6.0,-0.1,16.0,5.8,dominick-welch-1,37.0,38.0,Guard,1.0,3.0,alabama,0.675,27.0,0.222,6.0,9.0,30.0,0.405,16.5,9.0,13.0,0.385,5.0,15.4,,0.3,0.068,Dominick Welch
2022-23,0.0,0.0,0.0,0.0,2.1,sec,1.4,10.4,2.0,0.0,0.667,6.0,0.5,3.0,0.333,2.0,1.0,2.0,,,,18.0,0.7,12.1,2.0,0.1,4.0,17.0,delaney-heard-1,10.0,9.0,Guard,0.0,0.0,alabama,0.5,3.0,0.667,2.0,11.2,4.0,0.719,22.3,2.0,3.0,0.333,1.0,23.4,,0.1,0.178,Delaney Heard
2022-23,12.2,3.0,2.4,1.0,-3.3,sec,3.4,16.9,7.0,0.1,0.417,6.0,0.333,2.0,0.667,4.0,1.0,4.0,,,,39.0,-6.6,5.6,2.0,-0.1,5.0,2.2,darius-miles-1,9.0,11.0,Forward,1.4,1.0,alabama,0.5,3.0,0.333,1.0,11.6,9.0,0.57,53.3,9.0,3.0,0.333,1.0,20.4,,0.0,-0.012,Darius Miles
2022-23,0.0,0.0,0.0,0.0,-3.6,sec,4.5,9.9,2.0,0.0,0.571,7.0,0.429,3.0,0.0,0.0,,0.0,,,,19.0,-8.1,0.0,0.0,0.0,6.0,8.5,adam-cottrell-1,8.0,6.0,Guard,2.9,1.0,alabama,0.857,6.0,0.333,2.0,5.3,2.0,0.571,12.5,1.0,1.0,1.0,1.0,19.8,,0.1,0.122,Adam Cottrell
2022-23,24.5,3.0,0.0,0.0,-6.8,sec,4.8,5.2,1.0,0.1,0.0,8.0,0.0,0.0,0.5,4.0,0.5,2.0,,,,18.0,-11.6,18.1,3.0,-0.1,2.0,0.1,jaden-quinerly-1,2.0,5.0,Guard,9.2,3.0,alabama,0.375,3.0,0.0,0.0,11.2,4.0,0.101,16.8,2.0,5.0,0.0,0.0,31.0,,0.0,-0.103,Jaden Quinerly
2022-23,0.0,0.0,0.0,0.0,-0.8,sec,3.0,18.8,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,,,5.0,-3.8,21.7,1.0,0.0,2.0,5.3,max-scharnowski-1,0.0,1.0,Forward,0.0,0.0,alabama,,0.0,,0.0,20.1,2.0,,,0.0,0.0,,0.0,0.0,,0.0,0.158,Max Scharnowski
2022-23,14.3,69.0,2.3,23.0,9.8,pac-12,2.6,22.2,223.0,2.1,0.585,461.0,0.575,265.0,0.377,174.0,0.764,133.0,,,,1017.0,7.2,11.0,92.0,4.0,94.0,28.5,azuolas-tubelis-1,672.0,617.0,Forward,1.9,36.0,arizona,0.065,30.0,0.3,9.0,17.1,315.0,0.618,12.5,78.0,431.0,0.594,256.0,29.5,,6.1,0.24,Azuolas Tubelis
2022-23,10.9,55.0,5.0,45.0,8.4,pac-12,3.2,23.1,213.0,2.0,0.649,282.0,0.649,183.0,0.734,207.0,0.565,117.0,,,,937.0,5.2,10.0,77.0,2.9,79.0,24.9,oumar-ballo-1,483.0,450.0,Center,1.5,25.0,arizona,0.0,0.0,,0.0,17.1,290.0,0.635,14.4,64.0,282.0,0.649,183.0,22.9,,4.9,0.209,Oumar Ballo
2022-23,17.9,105.0,0.9,8.0,6.3,pac-12,2.7,12.3,114.0,1.4,0.547,215.0,0.474,102.0,0.619,133.0,0.835,111.0,,,,939.0,3.6,4.1,32.0,2.4,75.0,16.6,pelle-larsson-1,346.0,366.0,Guard,1.6,28.0,arizona,0.405,87.0,0.356,31.0,8.6,146.0,0.622,17.7,60.0,128.0,0.555,71.0,17.4,,3.9,0.166,Pelle Larsson
2022-23,26.7,178.0,0.1,1.0,2.9,pac-12,0.4,6.7,70.0,1.2,0.521,286.0,0.378,108.0,0.21,60.0,0.767,46.0,,,,1054.0,2.5,1.4,12.0,1.6,80.0,11.4,kerr-kriisa-1,344.0,391.0,Guard,1.0,20.0,arizona,0.769,220.0,0.373,82.0,4.3,82.0,0.547,21.7,87.0,66.0,0.394,26.0,18.4,,2.8,0.105,Kerr Kriisa
2022-23,18.8,111.0,0.2,2.0,5.9,pac-12,2.5,11.2,106.0,1.5,0.544,284.0,0.398,113.0,0.13,37.0,0.541,20.0,,,,959.0,3.3,1.6,13.0,1.5,63.0,13.3,courtney-ramey-1,329.0,329.0,Guard,1.9,34.0,arizona,0.715,203.0,0.409,83.0,6.8,119.0,0.545,14.5,51.0,81.0,0.37,30.0,17.7,,2.9,0.123,Courtney Ramey
2022-23,8.0,38.0,2.0,15.0,4.3,pac-12,2.1,10.4,80.0,1.2,0.551,217.0,0.465,101.0,0.253,55.0,0.764,42.0,,,,782.0,2.3,5.9,38.0,1.2,74.0,13.9,cedric-hendersonjr-1,281.0,263.0,Guard,1.8,26.0,arizona,0.415,90.0,0.411,37.0,8.3,118.0,0.578,15.0,43.0,127.0,0.504,64.0,17.7,,2.5,0.127,Cedric Henderson Jr.
2022-23,17.2,56.0,0.0,0.0,5.4,pac-12,3.6,9.6,49.0,0.8,0.56,126.0,0.444,56.0,0.151,19.0,0.789,15.0,,,,519.0,1.8,1.2,5.0,0.8,41.0,12.9,kylan-boswell-1,156.0,157.0,Guard,2.7,26.0,arizona,0.595,75.0,0.387,29.0,5.7,54.0,0.578,17.2,28.0,51.0,0.529,27.0,15.2,,1.6,0.124,Kylan Boswell
2022-23,12.2,15.0,6.1,12.0,6.3,pac-12,3.9,14.0,28.0,0.4,0.655,42.0,0.619,26.0,0.476,20.0,0.75,15.0,,,,203.0,2.3,7.8,13.0,0.5,30.0,17.8,henri-veesaar-1,70.0,71.0,Forward,1.1,4.0,arizona,0.262,11.0,0.273,3.0,11.1,41.0,0.68,18.9,12.0,31.0,0.742,23.0,15.1,,0.9,0.172,Henri Veesaar
2022-23,10.2,14.0,0.5,1.0,1.3,pac-12,1.4,10.0,21.0,0.3,0.51,51.0,0.392,20.0,0.333,17.0,0.706,12.0,,,,214.0,-0.1,2.8,5.0,0.2,17.0,10.0,adama-bal-1,64.0,62.0,Guard,1.8,7.0,arizona,0.667,34.0,0.353,12.0,6.7,26.0,0.542,18.0,13.0,17.0,0.471,8.0,16.2,,0.5,0.094,Adama Bal
2022-23,6.1,2.0,1.9,1.0,-3.7,pac-12,-1.4,9.4,5.0,0.1,0.441,17.0,0.412,7.0,0.471,8.0,0.75,6.0,,,,54.0,-2.4,9.0,4.0,0.1,9.0,11.6,dylan-anderson-1,21.0,21.0,Forward,0.0,0.0,arizona,0.176,3.0,0.333,1.0,9.2,9.0,0.505,8.8,2.0,14.0,0.429,6.0,20.4,,0.2,0.121,Dylan Anderson
2022-23,18.4,6.0,0.0,0.0,2.4,pac-12,1.6,16.9,9.0,0.1,0.615,13.0,0.538,7.0,0.231,3.0,0.667,2.0,,,,54.0,0.8,6.7,3.0,0.1,8.0,13.0,filip-borvicanin-1,18.0,19.0,Forward,1.0,1.0,arizona,0.308,4.0,0.5,2.0,12.3,12.0,0.624,25.7,5.0,9.0,0.556,5.0,17.4,,0.2,0.123,Filip Borvicanin
2022-23,0.0,0.0,0.0,0.0,18.2,pac-12,1.8,13.5,2.0,0.0,1.1,5.0,0.8,4.0,0.0,0.0,,0.0,,,,15.0,16.4,16.1,2.0,0.1,1.0,39.2,matthew-lang-1,11.0,6.0,Guard,0.0,0.0,arizona,0.8,4.0,0.75,3.0,14.7,4.0,1.1,0.0,0.0,1.0,1.0,1.0,16.1,,0.1,0.274,Matthew Lang
2022-23,11.4,1.0,0.0,0.0,-1.9,pac-12,0.1,25.4,4.0,0.0,0.5,6.0,0.5,3.0,0.0,0.0,,0.0,,,,16.0,-1.9,15.1,2.0,0.0,1.0,15.9,jordan-mains-1,6.0,6.0,Forward,3.4,1.0,arizona,0.0,0.0,,0.0,20.7,6.0,0.5,25.0,2.0,6.0,0.5,3.0,24.1,,0.0,0.09,Jordan Mains
2022-23,100.0,2.0,0.0,0.0,24.4,pac-12,10.4,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,,,,4.0,14.0,0.0,0.0,0.1,2.0,58.5,luc-krystkowiak-1,4.0,5.0,Forward,0.0,0.0,arizona,0.0,0.0,,0.0,0.0,0.0,1.026,0.0,0.0,1.0,1.0,1.0,23.5,,0.1,0.793,Luc Krystkowiak
2022-23,0.0,0.0,17.2,1.0,13.9,pac-12,8.8,33.8,2.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,,0.0,,,,6.0,5.1,0.0,0.0,0.0,2.0,37.1,will-menaugh-1,4.0,2.0,Forward,0.0,0.0,arizona,0.0,0.0,,0.0,18.4,2.0,1.0,0.0,0.0,2.0,1.0,2.0,16.1,,0.0,0.297,Will Menaugh
