team_unique,overall_seed,seed,region,round_started
Alabama,1,1,SOUTH,2
Houston,2,1,MIDWEST,2
Kansas,3,1,WEST,2
Purdue,4,1,EAST,2
UCLA,5,2,WEST,2
Texas,6,2,MIDWEST,2
Arizona,7,2,SOUTH,2
Marquette,8,2,EAST,2
Baylor,9,3,SOUTH,2
Gonzaga,10,3,WEST,2
Kansas-State,11,3,EAST,2
Xavier,12,3,MIDWEST,2
Connecticut,13,4,WEST,2
Tennessee,14,4,EAST,2
Indiana,15,4,MIDWEST,2
Virginia,16,4,SOUTH,2
San-Diego-State,17,5,SOUTH,2
Duke,18,5,EAST,2
Saint-Marys-CA,19,5,WEST,2
Miami-FL,20,5,MIDWEST,2
Iowa-State,21,6,MIDWEST,2
Creighton,22,6,SOUTH,2
Kentucky,23,6,EAST,2
Texas-Christian,24,6,WEST,2
Texas-AM,25,7,MIDWEST,2
Michigan-State,26,7,EAST,2
Missouri,27,7,SOUTH,2
Northwestern,28,7,WEST,2
Memphis,29,8,EAST,2
Arkansas,30,8,WEST,2
Maryland,31,8,SOUTH,2
Iowa,32,8,MIDWEST,2
Florida-Atlantic,33,9,EAST,2
West-Virginia,34,9,SOUTH,2
Auburn,35,9,MIDWEST,2
Illinois,36,9,WEST,2
Boise-State,37,10,WEST,2
Penn-State,38,10,MIDWEST,2
Southern-California,39,10,EAST,2
Utah-State,40,10,SOUTH,2
North-Carolina-State,41,11,SOUTH,2
Providence,42,11,EAST,2
Mississippi-State,43,11,MIDWEST,1
Pittsburgh,44,11,MIDWEST,1
Arizona-State,45,11,WEST,1
Nevada,46,11,WEST,1
College-of-Charleston,47,12,SOUTH,2
Oral-Roberts,48,12,EAST,2
Drake,49,12,MIDWEST,2
Virginia-Commonwealth,50,12,WEST,2
Kent-State,51,13,MIDWEST,2
Iona,52,13,WEST,2
Furman,53,13,SOUTH,2
Louisiana-Lafayette,54,13,EAST,2
Kennesaw-State,55,14,MIDWEST,2
California-Santa-Barbara,56,14,SOUTH,2
Grand-Canyon,57,14,WEST,2
Montana-State,58,14,EAST,2
Vermont,59,15,EAST,2
Colgate,60,15,MIDWEST,2
Princeton,61,15,SOUTH,2
North-Carolina-Asheville,62,15,WEST,2
Northern-Kentucky,63,16,MIDWEST,2
Howard,64,16,WEST,2
Texas-AM-Corpus-Christi,65,16,SOUTH,1
Texas-Southern,66,16,EAST,1
Southeast-Missouri-State,67,16,SOUTH,1
Fairleigh-Dickinson,68,16,EAST,1
