game_date,team_2_id,team_1_id,game_time,round_num,competition_id
2024-03-23,dayton,arizona,12:45,3,5
2024-03-23,gonzaga,kansas,15:15,3,5
2024-03-23,michigan-state,north-carolina,17:30,3,5
2024-03-23,washington-state,iowa-state,18:10,3,5
2024-03-23,oakland,north-carolina-state,19:10,3,5
2024-03-23,texas,tennessee,20:00,3,5
2024-03-23,duquesne,illinois,20:40,3,5
2024-03-23,oregon,creighton,21:40,3,5
2024-03-24,colorado,marquette,12:10,3,5
2024-03-24,utah-state,purdue,14:40,3,5
2024-03-24,james-madison,duke,17:15,3,5
2024-03-24,clemson,baylor,18:10,3,5
2024-03-24,grand-canyon,alabama,19:10,3,5
2024-03-24,northwestern,connecticut,19:45,3,5
2024-03-24,texas-am,houston,20:40,3,5
2024-03-24,yale,san-diego-state,21:40,3,5
