game_date,team_2_id,team_1_id,game_time,round_num,competition_id
2024-03-21,michigan-state,mississippi-state,12:15,2,5
2024-03-21,duquesne,brigham-young,12:40,2,5
2024-03-21,akron,creighton,13:40,2,5
2024-03-21,long-beach-state,arizona,14:00,2,5
2024-03-21,wagner,north-carolina,14:45,2,5
2024-03-21,morehead-state,illinois,15:10,2,5
2024-03-21,oregon,south-carolina,16:10,2,5
2024-03-21,nevada,dayton,16:30,2,5
2024-03-21,colorado-state,texas,18:50,2,5
2024-03-21,oakland,kentucky,19:10,2,5
2024-03-21,mcneese-state,gonzaga,19:25,2,5
2024-03-21,south-dakota-state,iowa-state,19:35,2,5
2024-03-21,saint-peters,tennessee,21:20,2,5
2024-03-21,north-carolina-state,texas-tech,21:40,2,5
2024-03-21,samford,kansas,21:55,2,5
2024-03-21,drake,washington-state,22:05,2,5
2024-03-22,northwestern,florida-atlantic,12:15,2,5
2024-03-22,colgate,baylor,12:40,2,5
2024-03-22,alabama-birmingham,san-diego-state,13:30,2,5
2024-03-22,western-kentucky,marquette,14:00,2,5
2024-03-22,stetson,connecticut,14:45,2,5
2024-03-22,new-mexico,clemson,15:10,2,5
2024-03-22,yale,auburn,16:00,2,5
2024-03-22,colorado,florida,16:30,2,5
2024-03-22,texas-am,nebraska,18:50,2,5
2024-03-22,vermont,duke,19:10,2,5
2024-03-22,grambling,purdue,19:25,2,5
2024-03-22,college-of-charleston,alabama,19:35,2,5
2024-03-22,longwood,houston,21:20,2,5
2024-03-22,james-madison,wisconsin,21:40,2,5
2024-03-22,texas-christian,utah-state,21:55,2,5
2024-03-22,saint-marys-ca,grand-canyon,22:05,2,5
