game_date,team_2_id,team_1_id,game_time,round_num,competition_id
2025-03-22,mcneese-state,purdue,12:45,3,6
2025-03-22,arkansas,st-johns-ny,15:15,3,6
2025-03-22,michigan,texas-am,17:30,3,6
2025-03-22,drake,texas-tech,18:10,3,6
2025-03-22,creighton,auburn,19:10,3,6
2025-03-22,brigham-young,wisconsin,20:00,3,6
2025-03-22,gonzaga,houston,20:40,3,6
2025-03-22,ucla,tennessee,21:40,3,6
2025-03-23,connecticut,florida,12:10,3,6
2025-03-23,baylor,duke,14:40,3,6
2025-03-23,illinois,kentucky,17:15,3,6
2025-03-23,saint-marys-ca,alabama,18:10,3,6
2025-03-23,colorado-state,maryland,19:10,3,6
2025-03-23,mississippi,iowa-state,19:45,3,6
2025-03-23,new-mexico,michigan-state,20:40,3,6
2025-03-23,oregon,arizona,21:40,3,6
