,assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_rebounds,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,games_played,games_started,height,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_rebounds,offensive_win_shares,personal_fouls,player_efficiency_rating,player_id,points,points_produced,position,steal_percentage,steals,team_abbreviation,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,weight,win_shares,win_shares_per_40_minutes,name
2024-25,25.0,163.0,0.2,2.0,7.4,sec,1.4,7.5,85.0,0.9,0.492,439.0,0.403,177.0,0.494,217.0,0.848,184.0,33.0,33.0,,1073.0,6.0,1.5,15.0,3.4,45.0,18.9,mark-sears-1,616.0,627.0,Guard,1.4,29.0,ALABAMA,0.526,231.0,0.338,78.0,4.7,100.0,0.568,13.8,87.0,208.0,0.476,99.0,26.4,,4.2,0.158,Mark Sears
2024-25,10.3,53.0,4.4,41.0,7.7,sec,4.0,22.0,198.0,1.3,0.571,267.0,0.528,141.0,0.483,129.0,0.667,86.0,33.0,31.0,,849.0,3.7,6.9,54.0,1.8,90.0,18.8,grant-nelson-1,391.0,377.0,Forward,0.9,15.0,ALABAMA,0.315,84.0,0.274,23.0,15.0,252.0,0.596,15.7,61.0,183.0,0.645,118.0,20.6,,3.1,0.146,Grant Nelson
2024-25,15.5,63.0,0.1,1.0,8.3,sec,2.4,7.9,58.0,0.6,0.606,279.0,0.466,130.0,0.179,50.0,0.78,39.0,33.0,0.0,,696.0,6.0,1.2,8.0,2.0,56.0,17.7,aden-holloway-2,377.0,333.0,Guard,1.5,20.0,ALABAMA,0.67,187.0,0.417,78.0,4.8,66.0,0.623,11.4,39.0,92.0,0.565,52.0,22.1,,2.6,0.149,Aden Holloway
2024-25,24.2,118.0,1.0,9.0,7.9,sec,3.8,8.9,76.0,1.0,0.515,293.0,0.457,134.0,0.266,78.0,0.756,59.0,33.0,25.0,,807.0,4.1,4.3,32.0,1.8,56.0,17.8,labaron-philon-1,361.0,387.0,Guard,2.8,43.0,ALABAMA,0.386,113.0,0.301,34.0,6.8,108.0,0.547,14.9,58.0,180.0,0.556,100.0,21.7,,2.8,0.138,Labaron Philon
2024-25,7.2,28.0,4.9,34.0,9.2,sec,4.3,22.9,152.0,1.0,0.735,132.0,0.735,97.0,0.614,81.0,0.704,57.0,33.0,33.0,,628.0,4.9,11.4,66.0,2.1,94.0,21.8,clifford-omoruyi-1,251.0,249.0,Center,0.7,8.0,ALABAMA,0.008,1.0,0.0,0.0,17.5,218.0,0.736,13.7,27.0,131.0,0.74,97.0,14.2,,3.1,0.197,Clifford Omoruyi
2024-25,5.5,21.0,0.9,6.0,6.3,sec,2.6,5.3,34.0,0.5,0.574,182.0,0.44,80.0,0.214,39.0,0.769,30.0,24.0,14.0,,601.0,3.7,3.4,19.0,1.1,52.0,12.6,chris-youngblood-1,239.0,209.0,Guard,1.5,17.0,ALABAMA,0.698,127.0,0.386,49.0,4.5,53.0,0.596,10.7,24.0,55.0,0.564,31.0,16.8,,1.6,0.107,Chris Youngblood
2024-25,12.2,39.0,3.8,22.0,11.3,sec,5.6,23.2,129.0,1.1,0.638,141.0,0.61,86.0,0.617,87.0,0.609,53.0,33.0,0.0,,525.0,5.7,13.8,67.0,1.6,76.0,24.3,mouhamed-dioubate-1,233.0,249.0,Forward,3.2,32.0,ALABAMA,0.149,21.0,0.381,8.0,18.9,196.0,0.639,16.1,35.0,120.0,0.65,78.0,18.6,,2.7,0.205,Mouhamed Dioubate
2024-25,6.2,26.0,2.9,20.0,5.6,sec,3.6,12.9,86.0,0.8,0.545,144.0,0.438,63.0,0.431,62.0,0.597,37.0,33.0,21.0,,628.0,2.1,6.0,35.0,0.9,76.0,12.1,jarin-stevenson-1,194.0,192.0,Forward,1.4,17.0,ALABAMA,0.66,95.0,0.326,31.0,9.7,121.0,0.559,13.9,28.0,49.0,0.653,32.0,14.4,,1.6,0.103,Jarin Stevenson
2024-25,8.0,15.0,1.5,5.0,3.3,sec,1.9,12.6,40.0,0.3,0.475,102.0,0.431,44.0,0.52,53.0,0.566,30.0,20.0,3.0,,301.0,1.4,7.2,20.0,0.4,27.0,13.0,derrion-reid-1,127.0,125.0,Forward,0.9,5.0,ALABAMA,0.343,35.0,0.257,9.0,10.1,60.0,0.499,11.8,17.0,67.0,0.522,35.0,21.6,,0.7,0.089,Derrion Reid
2024-25,6.9,12.0,2.0,6.0,5.4,sec,2.4,19.5,57.0,0.4,0.558,77.0,0.494,38.0,0.481,37.0,0.514,19.0,32.0,0.0,,276.0,3.1,14.1,36.0,0.6,39.0,16.9,aiden-sherrell-1,105.0,113.0,Forward,1.3,7.0,ALABAMA,0.442,34.0,0.294,10.0,17.0,93.0,0.555,12.9,14.0,43.0,0.651,28.0,17.7,,1.0,0.142,Aiden Sherrell
