round_num,round_name,round_start,round_end
1,First Four,2025-03-18T18:30:00-0500,2025-03-19T23:59:59-0500
2,Round of 64,2025-03-20T12:00:00-0500,2025-03-21T23:59:59-0500
3,Round of 32,2025-03-22T12:00:00-0500,2025-03-23T23:59:59-0500
4,Sweet 16,2025-03-27T18:15:00-0500,2025-03-28T23:59:59-0500
5,Elite Eight,2025-03-29T18:00:00-0500,2025-03-30T20:00:00-0500
6,Final Four,2025-04-05T18:00:00-0500,2025-04-05T23:00:00-0500
7,Championship Game,2025-04-07T21:00:00-0500,2025-04-07T23:59:59-0500
